Chunk Number,Original Text Chunk,Summary
11,"These models are based on the combination of two types of equations of very different nature. From one side, the so-called balance equations, whose validity in the framework of classical physics is out of discussion. The second type of equations are the so-called constitutive models. These relate primal variables and dual variables, e.g., stress and strain, temperature and heat flux. Their expression and validity depend on the nature of the considered system and the applied loading-in the most general sense.",Chunk 11: The aim of this project is to develop new models for the study of fluid mechanics.
12,"Corresponding author. E-mail addresses: AatheRalFeensameu (A. Reille), Nechasaoeteensameu (N. Hascoet), cghnatiosenduedulb (C. Ghnatios), AmineAMMAReensameu (A. Ammar), ecueto@unizar.es (E. Cueto), einlousDaavalgopon (.L Duval), FamckaCHNSTAPmame. (F. Chinesta), mindkeuminpeidouainhe (R. Keunings). Constitutive equations are often phenomenological, and in general involve some parameters assumed to be intrinsic to","Chunk 12: Constitutive equations are often phenomenological, and in general involve some parameters assumed to be intrinsic to"
13,"the system under consideration. For this reason, and even in the context of classical engineering, before solving a given problem, one must decide on the most appropriate model. There obviously exists a risk on the pertinence of the chosen model for addressing the phenomena under study. By performing some engineered experiments in order to calibrate the model, that is, to extract the value of the parameters that it involves, these risks can be alleviated.",Chunk 13: The aim of this paper is to show how to calibrate the most appropriate model for the study of phenomena under consideration.
14,"The calibrated model is expressed generally as a system of coupled nonlinear partial differential equations and must be solved for given loading and boundary conditions. Very often, the solution of these problems is not tractable by an analytical procedure. Numerical methods were intro- duced in the twentieth century for that purpose, and are nowadays widely employed, in industry as well as in academia. Thus, approximate procedures were proposed, most of them computationally manipulable. The first option consists in as-",Chunk 14: A calibrated model of a fluid is an important tool in the study of fluid mechanics.
15,"suming the solution expressible as a combination of a reduced number of functions with a physical or mathematical foundation. The Ritz method follows this rationale. Thus, if these functions are noted by Si(x), i= 1, G, the solution approximation reads u(x, t) & a;()gi(x) (1)",Chunk 15: suming the solution expressible as a combination of a reduced number of functions with a physical or mathematical
16,"i-1 where the time-dependent coefficients ai(t) are calculated by invoking a projection method, like the Galerkin method, for instance. However, the knowledge of these functions becomes a tricky issue in many cases. When the choice of an appropriate, physically sound basis is unavailable, the best option is considering a general purpose approximation basis, for example",Chunk 16: The Galerkin method is a well-known method for solving problems involving time-dependent coefficients.
17,"consisting of polynomials (Lagrange, Chebyshev, Legendre, Fourier...): Pi(x),i= 1, P, from which the approximation now reads u(x, t) & > Bi(t)Pi(x) (2) i-1",Chunk 17: The following is a list of some of the most
18,"and where, for ensuring accuracy, a sufficient number of terms must be considered, implying a quite large number of terms in the finite sum (2). In order to better adapt to complex domains, global functions P;(x) are often replaced by compactly supported functions M(x), leading to the so-called Finite Element Method, FEM. If we consider N nodes, the approximation reads u(x, t) & Ui(t).Wi(x)","Chunk 18: In this paper, we show that it is possible to decompose the global function P;(x) into a compact function M(x)."
19,"(3) i-1 where now U;(t) represents the searched solution at node Xi and at time t. This formulation becomes general enough at the price of computing many-in some cases too many-unknowns, the nodal values U;(t), Vi.",Chunk 19: (3) i-1 where now U;(t) represents the searched solution at node
20,"In the sequel, for the sake of notational simplicity, the dependence on time is not made explicit, and it is assumed that the discrete system that results from introducing approximation (3) into the weak form of the problem (for the sake of simplicity assumed to be linear) leads to the linear system KU=F (4)","Chunk 20: In the original, the dependence of time was made explicit, and it is assumed that the discrete system that results from approximation (3)"
21,"Here, matrix K represents the discrete form of the model, whereas vectors U and F contain the nodal unknowns and loads, respectively. Their respective sizes are N x N, N x 1 and N x 1. 1.1. Reduced modelling In many applications of practical interest, despite the richness of Eq. (4) that is able to consider any choice of the loading in a vector space of dimension N, usual loadings contain in practice many correlations. This results in the solution U being",Chunk 21: In this paper we present a solution to the problem of a bounded model with nodal unknowns and loads in a vector space of dimension N.
22,"defined in a subspace of dimension n, with n < N. Proper Orthogonal Decomposition proceeds by embedding the solution onto that subspace of dimension n [1] [2] [3] [4). Nonlinear manifold learning constitutes its nonlinear counterpart. For that purpose, from a set of snapshots of the solution U1, Us, a reduced basis Ri(x), i= 1, n, with n < N is extracted. The solution is finally expressed by u(x, t) & > V()Ri(x)","Chunk 22: This paper presents a solution for Proper Ortho Decomposition defined in a subspace of dimension n, with n  N."
23,(5) i=1 whose matrix form reads U=By (6),"Chunk 23: All photographs courtesy of AFP, EPA, Getty Images"
24,"The columns of matrix B contain the reduced functions at node locations. Thus, the component Bij = R;(x:) with i = 1, N and j = 1, n. Now, by injecting (6) into (4) and premultiplying by the transpose of B (something equivalent to a Galerkin projection in the reduced basis), it results (BTKB)y =BTF","Chunk 24: In this paper, we show how to reduce the functions of matrix B to a single component."
25,"(7) whose respective sizes are n x n, n x 1 and n x 1. In the nonlinear case, different procedures have been proposed for alleviating the construction of K. Among them, one can find the Discrete Empirical Interpolation Method [5] or the Hyper-Reduction [6), to cite but a few. In order to avoid the necessity of performing an ""a priori"" learning, a simultaneous searching of space and time functions",Chunk 25: This paper deals with the construction of K.
26,"was proposed in the context of the so-called Proper Generalized Decomposition, PGD [7] [8] [9] [10] [11). It was then extended for addressing space separation [12] or parametric solutions [13] [14] [15] [16] in some of our numerous previous works. Thus, the space-time separated representation now reads u(x, t) & T(t)a;(x) (8)","Chunk 26: In this paper, we present a new representation of the space-time separated representation u(x, t) &"
27,"i=1 where both groups of functions, Ti and X, are obtained by injecting the approximation (8) into the problem weak form and then using a rank-one enrichment for incrementally constructing the separated representation. At each enrichment step of that greedy algorithm, an alternated direction strategy is considered for addressing the nonlinearity arising from the product of both unknown functions Ti and X.","Chunk 27: In this paper, a greedy algorithm for the representation of a weak form of a function Ti and a greedy algorithm for the representation of a greedy function"
28,"Despite its generality, the computed solution (8) depends on the loading term. In the case of POD-based techniques, the reduced algebraic system can easily be inverted, leading to the reduced transfer function (BTKB) 1. Note that the reduced model matrix (BTKB) does not depend explicitly on the loading. Thus, as soon as a new loading F comes into play, it is to be projected on the reduced basis BTF = f. Then, the reduced solution is obtained from y = (BTKB) 'f. To recover the solution in the original finite element basis, one simply has to perform the projection U = By.","Chunk 28: In this paper, we show how to compute the reduced transfer function (BTKB) 1 from a finite element basis."
29,"PGD, on the contrary, does not compute such a reduced model (or its transfer function counterpart), but instead it proceeds by either (i) calculating the solution for each loading, or (ii) expressing the loading in an reduced basis (e.g., POD) according to f(x,t)=X MiFi(x,t)",Chunk 29: MiFi does not compute a reduced model (or its transfer function counterpart) according to f(x
30,"(9) i-1 that allows transforming the initial problem into a parametric one. Within the PGD rationale, the solution is searched in the parametric form u(x, t, N), with  = (p1, PF). A criticism that is usually attributed to the PGD technique, if compared to POD-based procedures, is precisely the neces-","Chunk 30: In this paper, we present a new technique for solving finite-element problems known as partial differential equations (PDE"
31,"sity of the load to be representable in terms of the reduced basis Fi, FF. However, it is important to note that even if such a constraint is less explicit when using the POD rationale, it also applies implicitly [17). Thus, it is important to note that the POD rationale is based on the existence of a reduced basis B, and that this basis was constructed from a particular choice of snapshots U1, Us, associated with a particular loading F1, Fs. Thus, if a quite different loading comes into play-one whose solution cannot be accurately approximated by the reduced basis Ri involved in B-the transfer func-","Chunk 31: In this paper, we derive the POD rationale for the transfer func of a load to be representable in terms of the reduced basis Ri involved in B-the transfer func."
32,"tion can be applied, but nothing guarantees the accuracy of the resulting solution. Finally, the applicability of Model Order Reduction techniques remains subordinate to the fulfillment of the conditions assumed during their construction. All the just discussed techniques belong to the vast family of Model Order Reduction techniques. In fact, models were not really reduced, only the solution procedure. 1.2. Learning models",Chunk 32: The aim of this paper is to provide an overview of the state-of-the-art in Model Order Reduction.
33,"We argued in some of our former works that, in some circumstances, models are too uncertain to represent the physical system [18). In that case, a data-driven procedure becomes an appealing choice [19] [20] [21] [22). For the sake of simplicity, we assume the problem to be linear and that N couples (Ui, Fi)-assumed independent, that is, spanning the whole vector space of dimension N-are available. We also assume that nothing is known on the model whose discrete expression consists of the matrix K.","Chunk 33: In this paper, we show how to solve a problem in which a model of a system is uncertain."
34,"Thus, with all the couples fulfilling the algebraic relationship KU; = Fi, Vi (10) one could construct the vector K (vector expression of the matrix K), the extended loading vector F that includes all the loads, i.e. FT = (F1, FN) and finally matrix U from the different U; organized in an adequate manner SO as to enable","Chunk 34: In this paper we show that it is possible to construct the vector K (vector expression of the matrix K), the extended loading vector F"
35,"Eqs. (10) to be expressed as UK-F (11) They can be solved to obtain the model K, or its matrix counterpart K. There are many ways of performing such an identification. In the linear or the nonlinear cases as, for example, deep-",Chunk 35: The differential equations UK-F (11) can be identified by the coefficients UK-F (10) and UK
36,"learning (based on neural networks, NN), dynamic mode decomposition, DMD... to cite but a few. It is important to note that the complexity of standard solutions involving known models K, scales with the number of unknowns N, however, when trying to identify the model the complexity scales with N2 (number of component of K), justifying that a lot of data is mandatory for extracting the hidden model, situation that becomes even more stringent in the nonlinear case that requires identifying a model Klu around any possible value of U.",Chunk 36: Some of the most challenging problems in artificial intelligence involve models that are hidden.
37,"This apparent complexity justifies the fact of associating the term big-data to machine learning. However, in engineering, the available data is in some circumstances very scarce: collecting data could be technologically challenging, sometimes simply impossible, and in all cases, generally expensive. Thus, the big-data is being, or should be, transformed in a smarter counterpart, with smart-data paradigm rationalizing the amount of needed data, while driving its acquisition (collection): which data, where and when?",Chunk 37: The term big-data is often used to describe large amounts of data that need to be collected and analysed.
38,"The present work tries to exploit the fact previously discussed, that despite the richness of loadings and responses (being the model the application that relates both), in general both are living in low-dimensional manifolds, and therefore the model relating both is expected to reflect this fact. This consideration was exploited when proposing the so-called hyper-reduction techniques, however they were applied on pre-assumed models, whereas in what follows we apply it while assuming the model unknown.",Chunk 38: A number of recent papers have addressed the question of how to reduce the complexity of a model that relates two or more applications.
39,"After this introduction, the next section proposes a procedure for extracting the reduced model from a small amount of data, then the procedure will be illustrated from the analysis of a quite simple nonlinear problem, before finishing by addressing some general conclusions. 2. Methods For the sake of simplicity, we start by assuming the discrete linear problem","Chunk 39: In the first section, we introduce the concept of a reduced model for a discrete linear problem."
40,"KU=F (12) where F and U represent the input and output vectors respectively. In a general case, they could have different nature and represent the values of their respective fields at the observation points. The respective sizes are N x 1 and N x 1. As in the case of reduced-order modeling, we assume that inputs and outputs are (to a certain degree of approximation)","Chunk 40: In this paper, we consider the use of reduced-order models in space exploration."
41,"living in a sub-space of dimension n, much smaller than N. Thus, the rank of K is expected to be also n, even if a priori, it was ready to operate in a larger space of dimension N. The question is therefore how to extract the reduced model? Among the numerous possibilities we explored, we com- ment here on two of them. 2.1. Rank-n constructor","Chunk 41: The rank of a priori is expected to be the rank of K, even if a priori is ready to operate in a larger space of dimension"
42,"Here, we consider a set of S input-output couples (F;, U:), and assume the model to be expressible from its low-rank form KLR K & KIR- ZÇeR-2GR (13) j=1","Chunk 42: In this paper, we consider a set of S input-"
43,"j=1 where @ denotes the tensor product, and Ç and R; are the so-called column and row vectors. This expression is somehow similar to the separated representation used in the PGD, the SVD (Singular Value Decomposition) or the CUR decomposition [23] [24). Remark 1. If the model is expected to be symmetric, one could enforce that symmetry in the solution representation, i.e.",Chunk 43: The solution of a tensor product is represented by two vectors.
44,K: & KLR (CRI + R;C) (14) = Let us define the functional E(KLR) according to EK-)=IF- K'RUp,Chunk 44: Let us define the functional E(KLR)
45,"(15) i-1 The choice of many different norms could be envisaged here. For exploiting sparsity, for instance, the choice should be the L1-norm. In what follows, we consider the standard L2-norm, i.e. we take p = 2. By considering matrices F and U containing in their columns vectors Fi and Ui respectively, the previous expression","Chunk 45: In this paper, we consider the choice of many different norms for exploiting sparsity in a Hilbert space."
46,"can be rewritten using the Frobenius norm (related to P = 2) as EC-)-F-K""Ul, (16) whose minimization results in K-(UU)=FUT",Chunk 46: The results of this paper have been revised to reflect
47,"(17) or, equivalently, KLR - (FUT)(UUT)- (18) This proves that KLR and, more particularly, its column and row vectors, correspond to the SVD (or rank-n truncated SVD)",Chunk 47: KLR - (FUTUUT)- (18)
48,"decomposition of (FUT)(UU)"". Remark 2. Within the standard PGD rationale, one could compute the separated representation of KLR by computing pro- gressively the separated representation using the standard greedy algorithm applied on Eq. (17) from KK""UU)-KCU) (19)","Chunk 48: In this paper, we show how a greedy algorithm can be used to compute the"
49,"with """" the twice-contracted tensor product, and KLR approximated by (13). The test matrix K* is obtained from: K*-CR (20) j=1 or its symmetrized counterpart.",Chunk 49: This paper presents the results of a test matrix for
50,"This procedure is specially suitable when N becomes large, thus making difficult the calculation of the SVD decomposition of (FUT)(UUT)- Remark 3. This procedure ensures that when addressing a linear problem, N linearly independent loadings Fj, j=1,.,N, ensure the construction of a rank-N model K. If the model is computed by incorporating progressively the available data- from one loading leading to model K1 (a single data model), to N leading to KN_we can define the model enrichment",Chunk 50: A procedure for constructing rank-N models with independent loadings has been proposed.
51,"AK = Ki - K = 2, N. Note that adding more data, Fj, j > N, to the model does not make it evolve anymore, as expected. In other words: KI =K, J > N. In the nonlinear case, where a model is a priori expected to exist around each U, the model continues to evolve when j > N.",Chunk 51: Here is an example of a model that evolves when one or more data sets are added to it.
52,"With the low-rank model thus calculated, as soon as a new datum arrives, F, the solution is evaluated from U=( (KLR)-'F (21) Remark 4. In section 2.3 we propose an alternative methodology based on the calculation of transfer functions that avoids model inversion.","Chunk 52: In section 2.1, we derive a low-rank model for a differential equation in which the coefficients"
53,"2.2. Progressive greedy construction In this case we proceed progressively. We consider the first available datum, the pair (F1, U1). Thus, the first, one-rank, reduced model reads K1 = (CR) (22)","Chunk 53: In this paper we consider the construction of a greedy model, where"
54,"ensuring (CR)U1 = F1 (23) and one possible solution, ensuring symmetry, consists of R1 = F1 and C1 = E with Pi = FU,. Many other solutions exist, since there are N available data for computing 2N unknowns (the components of the row and column vectors). Of course,","Chunk 54: The solution to the problem of ensuring (CR)U1 = F1 (23) and one possible solution,"
55,"the problem can be written as a minimization problem using an adequate norm. Suppose now that a second datum arrives, (F2, U2), from which we can also compute its associated rank-one approxima- tion, and SO on, for any new datum (Fi, U;). This leads to Ki = (GR) (24)","Chunk 55: In this paper we show how to compute the rank-one approxima- tion, SO on, of"
56,"ensuring at its turn (CR)U; = Fi (25) where Ci = F gi (with i = F/Ui) and Ri = Fi. For any other U, the model could be interpolated from the just defined rank-one models, Ki,i=1,. S, according to",Chunk 56: The following is an example of a rank-one model.
57,S Klu & KI(U) (26) i-1 with I(U) the interpolation functions operating in the space of the data U.,Chunk 57: The interpolation functions operating in the space of the data
58,"This constructor is not appropriate when addressing linear behaviors. If we assume known two local rank-one behaviors K1 and K2 ensuring the fulfillment of relations K,Ui = F1 and K2U2 = F2, it follows that if for example F= 0.5(F1 + F2), by considering K = 0.5(K1 + K2), the resulting output does not satisfy linearity, i.e. U * 0.5(U1 + U2). However, in the nonlinear case, by defining the secant behavior at the middle point associated with F = 0.5(F1 + F2) as N = 0.5(K2 - K1), we will have K = K1 + K = 0.5(K1 + K2), fact that allows viewing the progressive greedy construction",Chunk 58: This constructor is not appropriate when addressing linear behaviors.
59,"and its associated interpolation as a linearization procedure. 2.3. General remarks All the previous analysis was based on the calculation of the reduced model KLR. However, this procedure needs its inversion KLR-' for evaluating the solution U = KLR-'F. This issue could be easily circumvented as follows. The discrete model KU = F can be rewritten as U = K IF and by introducing the discrete transfer function T (that",Chunk 59: This paper presents a new procedure for evaluating the solution U = KLR-'F.
60,"represents the inverse of K), one could learn directly, by using all the previous rationale, the reduced expression of the transfer function, i.e. TLR. The advantage of learning the reduced discrete transfer function is that, as soon as a datum F is available-and under the assumption that it is living in the same subspace that served for constructing the reduced model-the evaluation becomes straightforward: a simple matrix-vector product. It can even be more simplified, since matrix TLR is expressed","Chunk 60: In this paper, we show how to learn the reduced discrete transfer function (i.e."
61,"in a separate format, U = TLRF, with T & TLR Z,Ry (27) j=1 Nothing really changes when considering nonlinear models, except the fact that the models, K or T and, in turn, the",Chunk 61: Match reports and team news for Saturday's FA Cup quarter-final between
62,"vectors they involve, must be assigned to the neighborhood of the data U or F. In practice, data can be classified, creating a number clusters where the models are constructed [25]. Thus, each time a datum F arrives, the cluster to which it belongs-say, K-is first identified. Then, the low-rank discrete transfer functions of that cluster, TIR, is chosen and the solution evaluated according to U=TIRF","Chunk 62: In this paper, we present a new method for constructing discrete transfer models where the vectors U or F, i.e."
63,"(28) Again within the PGD rationale, all the discussion above can be extended to parametric settings. The description and results constitute a work in progress that will be reported in ongoing publications. Another work in progress concerns the obtention of error bounds, needed for certifying the constructed models and their predictions. There is a vast corps of literature on verification and validation, but they where associated with model-based simulations. Here, for the best",Chunk 63: The following is a description of some of the work being done on the verification and validation of model-based simulations.
64,"identified model, the existing error estimation procedures can be applied. However, the remaining question concerns the estimation of the error associated with the model itself, whose quality depends on the collected data, i.e. validation, more than verification. This issue also applies in model-based simulations: how to be sure that the considered models are the appropriate ones? 50","Chunk 64: In this paper, we present a new approach for the estimation of the error associated with the selection of the appropriate model for a given"
65,40 - 30 20 10,Chunk 65: The winning numbers in Saturday evening's drawing of
66,0 -10 -20 -30 -40,Chunk 66: The winning numbers in Saturday evening's drawing of
67,-50 -50 0 50 Fig. 1. Domain equipped with a finite-element mesh.,Chunk 67: Domain equipped with a finite-element mesh.
68,"Despite the apparent difficulty, since the model is defined with the only support of a discrete basis, some estimators could be easily defined, and will be reported in future works. All the previous developments could be accomplished by first extracting the reduced bases associated with input and output vectors (action and reaction) and then learning the associated reduced models within the framework of a pro- gressive POD. However, the procedure here considered seems more physically sound. A fully reduced counterpart of",Chunk 68: This paper presents a new approach to the derivation of discrete models from a Poisson distribution model.
69,"the procedures here proposed and described constitutes a work in progress, whose results will be reported in ongoing publications. The present procedure becomes quite close to the so-called dynamic model decomposition as soon as the model is assumed to be expressed in a tensor form and extended to nonlinear settings from an appropriate clustering. The main issue when considering data-driven models is the noise impact on the predictions. There are many possi-",Chunk 69: This paper presents a new procedure for the decomposition of data-driven models.
70,"bilities, most of them based on the use of filters. Here, we considered, as proved later, a simple procedure. The data (F, Ui) is obtained with a resolution N, on which noise applies. A quite efficient filter consists in simply consider- ing the model, i.e. its row and column vectors, described with a coarser resolution M < N. In fact, inputs and outputs could exhibit fast fluctuations, but in many applications, in which model order reduction applies, these fast fluctuations are almost due to noise, and for that reason, the model could be expected being described with a coarser resolu-","Chunk 70: In this paper, we deal with the question of how to describe a noisy model."
71,"tion. 3. Results 3.1. A nonlinear example In order to prove the potential interest of the methodology here described, we consider a nonlinear elastic model with Poisson coefficient and Young's modulus given by respectively by V= 0.3 and E = 105(1 + 1000E1), with E1I the second","Chunk 71: In this paper, we introduce a new method for the derivation of the coefficients of Poisson and Young's"
72,"invariant of the strain tensor E. Units are MPa for stresses, N/mm for applied tractions and mm for lengths. The mechanical problem is defined in the two-dimensional domain depicted in Fig. 1, that also shows the finite ele- ment mesh employed for generating the synthetic pseudo-experimental data. Displacements are prevented on its bottom boundary. Left and right boundaries are traction-free and a distributed tension applies on its upper boundary, given by tT = (0, do + aix).",Chunk 72: This paper presents the derivation of a strain tensor for a two-dimensional mechanical problem.
73,"Fig. 2 depicts, for do = 100 and ai = 0, the displacement field and the Young modulus distribution, while Fig. 3 depicts the displacement along the upper boundary. From the reference elastic model we explore the parameter space (ao, ai) by computing realizations generated from (ao + ro, a1 + T1), with ro and T1 two random numbers uniformly distributed in the interval [-1,1] around points (do = x105",Chunk 73: In this paper we present a new elastic model for displacement along the upper boundary of a plane.
74,50 50 a MAN AIAIINY 3.5 40,Chunk 74: BBC Sport takes a look at some of the key
75,40 0.1 30 30 0.08 20,Chunk 75: The winning numbers in Saturday evening's drawing of
76,20 10 10 2.5 -,Chunk 76: BBC Sport takes a look back at some of the
77,0.06 0 0 -10 -10 0.04,Chunk 77: The winning numbers in Saturday evening's drawing of
78,-20 -20 -30 M 0.02 -30,Chunk 78:     
79,.5 - / -40 - -40,Chunk 79:     
80,-50 -50 -50 0 50,Chunk 80: A selection of photos from around the world this week
81,-50 0 50 Fig. 2. Displacement field (left) and Young modulus distribution (right). 0.115,Chunk 81: Displacement field and Young modulus distribution at the centre of
82,0.11 0.105 0.1 0.095 0.09,Chunk 82: The winning numbers in Saturday evening's drawing of
83,I 0.085 0.08 0.075 0.07,Chunk 83: The winning numbers in Saturday evening's drawing of
84,-50 0 50 X coordinate Fig. 3. Displacement on the upper boundary.,Chunk 84: Displacement on the upper boundary of arhombus
85,"0, a1 = 0), (ao = 100, a1 = 0), (ao = 100, ai = 10) and (do = 0, a1 = 10), defining four loading clusters around those points. Thus, the nonlinear elastic model was employed for generating the synthetic data. In the present case, it consists of trac- tion and displacement on the upper boundary of the domain. For example, for the loading cluster around (ado = 100, ai = 0), the input (loading) and output (vertical displacement) data are shown in Fig. 4.","Chunk 85: In the present work, we have generated a synthetic data set, which consists of a set of inputs (ado = 100, ai = 0), outputs (ado = 100, ai = 10),"
86,"From all the available data, the discrete, low-rank transfer function TLR is calculated at each loading cluster. Fig. 5 depicts the column and row vectors involved in the rank-two model associated with the cluster (do = 100, ai = 0). The obtained rank, two, corresponds to the expected one, since the loading is defined in a manifold of dimension 2, consisting of parameters do and ai. When evaluating the model at any point in the parametric domain (ao,a1), the model TLR is interpolated from the four","Chunk 86: In this paper, we derive a rank-two model for the transfer of data from one cluster to another."
87,"computed models TLR K LR Ix (ao, a1) (29) K=1","Chunk 87: Researchers at the University of California, Los Angeles,"
88,"where Ix (ao, a1) denotes the bilinear interpolation functions in the parametric space (ao, ai) associated with cluster K. 160 140 120 I 100","Chunk 88: where A (ao, a2) denotes the bi"
89,80 60 40 -50 0,Chunk 89: BBC Sport takes a look back at some of the
90,50 xcoordinate 0.14 0.13 0.12,Chunk 90: BBC Sport takes a look back at some of the
91,0.11 0.1 3 0.09  0.08 0.07,Chunk 91: The winning numbers in Saturday evening's drawing of
92,0.06 0.05 0.04 -50 0,Chunk 92: The winning numbers in Saturday evening's drawing of
93,"50 xcoordinate Fig. 4. Top: input (applied tension). Bottom: output (vertical displacement). Fig. 6 compares the reference solution and the one obtained by interpolating models at point (do = 50, a1 = 5), TLR, and then computing the response from U = TLRF.",Chunk 93: The results of this study are presented in Fig.
94,"3.2. Influence of noisy data In the present case the loading was randomly perturbed, as well the computed displacement field (using the unperturbed loading). As mentioned in Section 2, a simple filtering procedure consists in truncating the approximation to a number of M A N terms. Our experience indicates that this simple procedure calculates first those modes with a lower frequency content, thus filtering noise in practice.",Chunk 94: In this paper we show how a simple filtering procedure can be used to filter noisy data.
95,"Fig. 7 compares column and row vectors involved in the discrete low-rank transfer function (whose dimensional- ity increased due to the noise but was truncated to rank 3) in absence of any noise filtering (i.e. M = N) and when using M < N. A performing filter capability is appreciated, with a beneficial effect on the accuracy of the predic- tions. 6 x103",Chunk 95: The effect of noise filtering on the dimensionality of a low-rank transfer function is investigated.
96,4 2 I 0 -2 -4,"Chunk 96: All photographs courtesy of AFP, EPA, Getty Images"
97,-6 -50 0 50 x10'9,Chunk 97:     
98,6 4 2 E 0 -2,"Chunk 98: All photographs  AFP, EPA, Getty Images"
99,-4 -6 -50 0 50,Chunk 99: The winning numbers in Saturday evening's drawing of
100,Fig. 5. Column and row vectors defining the discrete low-rank transfer function TLR. 0.25 Esfmaled 02 Reierence,Chunk 100: The low-rank transfer function is defined as the
101,0.15 0.1 0.05 I 0,Chunk 101: The winning numbers in Saturday evening's drawing of
102,I -0.05 -0.1 -0.15 -50,"Chunk 102: All photographs courtesy of AFP, EPA, Getty Images"
103,0 50 xcoordinate Fig. 6. Comparing predictions based on the data-driven model with the reference solution. 0.1,Chunk 103: This paper presents a data-driven model for predicting
104,0.15 0.08 0.06 0.1 0.04,"Chunk 104: ,,,,"
105,0.05 0.02 0 o -0.02,Chunk 105: The winning numbers in Saturday evening's drawing of
106,-0.04 -0.05 -0.06 an -40 30 -20 -10 0 10 20 30 40 50 01 -40 30 -20 -10 0 10 20 30 40 50 xcoordinate,"Chunk 106: , , , "
107,xcoordinate 0.04 0.05 0.03 0.04,"Chunk 107: All photographs courtesy of AFP, EPA, Getty Images"
108,0.03 0.02 0.02 - 0.01 0.01,Chunk 108: The winning numbers in Saturday evening's drawing of
109,0 o -0.01 -0.01 -0.02,Chunk 109: The winning numbers in Saturday evening's drawing of
110,-0.02 -0.03 -50 -40 30 -20 -10 10 20 30 40 50 . -40 -30 -20 -10 0 10 20 30 40 50 xcoordinate xcoordinate,Chunk 110: -40 -30 -20 -10 10 20
