Chunk Number,Original Text Chunk,Summary
11,"Keywords: injury prediction; training load monitoring; non-linear machine learning; well-being questionnaires; one-month and one-week time horizons; sport science 1. Introduction Injuries are commonplace in professional soccer. According to a recent study [1), the overall incidence of injuries in elite male soccer players ranges from 2.5 to 9.4 injuries per 1000 h of exposure.",Chunk 11: Injury prediction and well-being in professional soccer.
12,"These authors also showed that the risk of injury is higher during matches than training sessions. One of the last epidemiological studies highlighting the increase of injuries over the past 16 years, has emphasized that muscle incidents were the main cause [2]. Injuries being ubiquitous in this type of complex sport [3] there are several risk factors such as the number of played matches, the accumulation of fatigue induced by the workload during and following training sessions, etc.","Chunk 12: The risk of injury in football is higher than in other sports, according to a study published in the British Journal of Sports Medicine."
13,"Within this context, non-contact injuries are often regarded as preventable and linked to internal and external risk factors related to workload [4). It is therefore essential to quantify properly, over time, the training and competitive match workloads for any injury prediction approach in soccer. In addition, the total training load tends to increase along with the annual performance objectives. Therefore, monitoring the internal load experienced by thej player as the combination of the","Chunk 13: Non-contact injuries are the leading cause of long-term absenteeism in professional football [1,2]."
14,"physiological (heart rate measurements [5]) and psychological (perception questionnaires [6]) stresses and the external load (i.e., the mechanical work completed by the player) during both training and Appl. Sci. 2020, 10, 5261; dol103390/app1015261 wmdplam/pumiypid Appl. Sci. 2020, 10, 5261",Chunk 14: The purpose of this study is to investigate the effects of training on the player's
15,2of 20 competition is of fundamental importance to allow the individualization of training activities [7] as well as the identification of potential injury risk at the individual player level. Many studies have already examined soccer activity. Randers et al. [8] indicated that analytical tools such as video and wearable technology like Global Positioning System (GPS) devices and inertial,Chunk 15: The World Cup is one of the most important sporting events in the world.
16,"sensors can provide accurate mechanical data about players activities both during training and in competition. Several important performance-related features have been highlighted, such as distances travelled at different speeds, accelerations, decelerations and maximum speed [9]. For instance, the average distance travelled in matches by elite soccer players is of 9 to 12 km [9,10]. Sprinting in particular is often considered as a major component of performance, but ultimately it only represents","Chunk 16: In our series of letters from African journalists, film-maker and columnist Ahmedou Ould-Abdallah looks at the role of sensors in sports performance."
17,"10% of the total distance covered during matches [11]. These various metrics among others (e.g., acceleration and deceleration ranges, changes of direction) are regularly used to quantify external load. Both high and low external loads lead to injury risk, with suggestions that there may be an optimum load threshold for individuals [12]. Besides objective physical tests, it is also possible to use subjective measures to predict injury risk. The session Rating of Perceived Exertion (RPE) has been","Chunk 17: The distance covered by a player during a football match is an important measure of the external load on his or her body, i.e."
18,"used for injury risk estimation [13-15). Indeed, recent research in elite soccer recording contact and non-contact injuries has identified a link between internal workload (using session RPE) and injury incidence [16] while no relationship between internal load and non-contact injuries was observed in other studies [14]. The large amount of features recorded from the assessment of external load (GPS and inertial",Chunk 18: The use of recorders to assess the external load on a player's body has become increasingly popular in recent years.
19,"sensors) and internal load (associated with subjective well-being questionnaires and RPE) can be used together in order to better capture the relationship between both internal and external loads [17] and predict in turn players injury. However, the more massive collected data, the more complex their managing. It is now acknowledged that machine learning methods applied to sport can provide accurate diagnostic and decision tools for training management and injury risk assessment but are not","Chunk 19: Sport has a long history of collecting vast amounts of data about its players, both on and off the field."
20,"yet widely used in the latest scientific studies (see for a review Claudino et al. [18]). One of the first investigations that tried to predict non-contact: injuries in team-sports using machine-learning methods was conducted by Rossi et al. [19]. Starting from the observation thati injury risk assessment by applying the so-called açute:chronic workload ratio (e.g., used in Raya-Gonzaled et al. [14]) led to inaccurate and poor prediction abilities, Rossi et al. [19] proposed a multi-dimensional approach to injury prediction",Chunk 20: Injuries in team-sports are one of the most common sports-related injuries in the world.
21,"in professional soccer based on external load data collected through GPS measurements. For that purpose, they trained decision trees that predict whether or not a player is likely to get injured in the next match or training session. Such non-linear models applied only to external training load showed better performance: metrics than traditional statistical methods for predicting injury risk [19]. However these performances are far from being optimal for the prediction of injuries, i.e., 50% of","Chunk 21: In this paper, we present a novel method for predicting player injuries."
22,"precision and 80% of recall. Altogether, it appears that, to our knowledge, the scientific literature remains very scarce on the problem of injury prediction in elite soccer from internal and external loads together in a multi-dimensional non-linear machine learning based model. Therefore, given the amount of data collected in modern elite soccer regarding both external and internal loads, it's nowadays relevant to apply machine-learning methods to a pre-established set of","Chunk 22: In this paper, we present a novel machine-learning based model for injury prediction in elite soccer."
23,"variables in order to provide useful information for professional coaching. We put forward the main hypothesis that using such type machine-learning methods would be able to inform us with good prediction performance. about injury risks over two. horizons (one week and one month) by considering the combined evolution of both internal and external training loads. The results of the present study, as being the first one coupling the two types of training loads, could guide the programming and",Chunk 23: The aim of the present study is to develop a machine-learning method to predict the risk of injury in football players.
24,"individualization of physical training with the aim of controlling and thus reducing the risk of injury. The evaluation of the proposed approach in this study is done in two steps. First, combining external and internal loads features is proposed to predict injuries with better performances as compared to past studies using only external load. Second, some classification algorithms that perform best on these features are selected. For this aim, various standard machine learning algorithms are compared using",Chunk 24: The aim of this study is to develop a machine learning approach for predicting injuries during physical training.
25,"standard evaluation metrics such as accuracy, precision, recall and the area under the receiver operator Appl. Sci. 2020, 10, 5261 3of 20 characteristic curve (AUC). In particular, tree-based algorithms with an important interpretation aspect are privileged as they can help to identify and understand how GPS and questionnaires variables",Chunk 25: The aim of this paper is to develop a tree-based algorithm for the estimation of the accuracy of global positioning
26,"impact on injury risk. 2. Materials and Methods 2.1. Procedures and Data Collection Forty players (mean t SD; age 29.4 t 5.8 years; height 175.3 t 5.2 cm; body mass 76.5 t 8.21 kg) classified from all offensive and defensive position groups (9 central defenders, 8 fullbacks, 10 central",Chunk 26: The purpose of this study is to: 1.
27,"midfielders, 6 wide midfielders, 7 forwards) from the same elite soccer club competing in the French Ligue 2 participated in one: full-season (2017/2018) data collection. The study was conducted according to the requirements of the Declaration of Helsinki. Participants gave their written informed consent to participate in the study. Approval for the study was obtained from the Club as player's data were routinely collected throughout the season.",Chunk 27: The Finnish Football Association (FFA) has carried out a study on the relationship between the number of players from the same club competing in the French Ligue 2
28,"The training workload, perceptive well-being questionnaires and injury data were monitored over the pre-season period and during the entire competitive period from June 2017 to May 2018, taking into account the different breaks between these periods, the international truces and the winter truce. A total of 245 training sessions, 38 Domino's Ligue 2 matches, 2 Coupe de la Ligue matches and 3 Coupe de France matches were recorded and analyzed. Altogether, the average recording time in",Chunk 28: This study was carried out by the French Football Federation (FIF) and the French Institute of Sport (IOM).
29,"training and match was 68 t 24 min and 105 t 11 min, respectively. The average distance covered by all players for both training session and match was 4817 t 1965 m and 7694 t 1527 m, respectively; and the average duration was 65 t 13 min per training session and 78 t 16 min per match. During those periods, 142 injuries were inferred from the training notes containing the list of injured players for each training session. The injuries concerned 33 different players. Figure 1",Chunk 29: The following table shows the number of injuries sustained by players during training sessions and matches of the National Football League (NFL) between 1999 and 2003.
30,"represents the number of injuries per players: 12 players were injured only once, 5 players were injured 6 times and 1 player had 12 injuries. It is important to note that the real injury times and reasons were not known. It was alleged that when a player was referred as injured in a training session, it was in fact at the last training session that his injury really occurred. The injury labels contain therefore some uncertainty that was not taken into account in this study.",Chunk 30: This table shows the number of players who were injured during training sessions in the past five years.
31,12- 10 8- 6 # 4,"Chunk 31: Match reports from the French Open, where world number"
32,"2- l., 0 2 3 4 5 6 7 8 9 10 11 12 # injuries",Chunk 32: Watch highlights of England's Euro 2016 win over
33,"Figure 1. Number of injuries per players. Various types of training load features (see Table 1) regarding a professional soccer club were collected from 40 players during official competitive: matches, pre-season preparation matches, before, during and after training sessions. A first set of features concerned the player's activity using a GPS tracking system. The GPS system allows real-time player tracking and an early a posteriori analysis",Chunk 33: The aim of this study was to investigate the impact of training load on player injury rates.
34,"for coaching staff. This first set of features reflects the external training load, i.e., the objective physical work performed by the player. The player's physical activity during each training session and match Appl. Sci. 2020, 10, 5261 4of20 was measured using a portable 10 Hz GPS system (Optimeye $5, Catapult Innovations, Melbourne,","Chunk 34: The aim of this study is to develop a system to monitor player performance, i.e."
35,"Australia) integrated with a 100 Hz triaxial accelerometer and a gyroscope. The accelerometer and gyroscope components combined with 10 Hz GPS systems have shown acceptable levels of reliability and validity in team sports for distance and high-speed distance-based metrics [20,21]. Four main external load features were measured: maximum speed, total distance covered, and number of accelerations and decelerations. Based on the dedicated literature [22,23] the following external",Chunk 35: A high-performance inertial measurement unit (IMU) has been developed for use in team sports (e.g.
36,"training load features were retained: the total distance travelled in each specific speed zone (0-1 km/h, 0-6 km/h, 6-15 km/h, 15-20 km/h, 20-25km/h, > 25 km/h) and the PlayerLoad TM (athlete's mechanical fatigue index according to Barrett, Midgley, and Lovell [24]), which is a modified vector magnitude expressed as the square root of the sum of the squared instantaneous rated of change in acceleration in each of the three planes and divided by 100.","Chunk 36: A new version of the athlete's fatigue rating system, the Fatigue Rating System (FRS), has been developed."
37,"Table 1. Set of features used in the study. GPS is corresponding to features of external loads while questionnaires (based on a 10 cm visual analog scale, VAS10) are dealing with internal loads. Type of Data Name Definition",Chunk 37: The following table lists the features used in the study.
38,age age at thel beginning of the 2017 season weight weight at the beginning of the 2017 season personnal features,Chunk 38: BBC Sport tracks the weight of the world's
39,height height at thel beginning of the 2017 season BMI Body Mass Index role,Chunk 39: BBC Sport takes a look back at some of the
40,role tot_dur total duration tot_dist total distance covered,Chunk 40: BBC Sport takes a look at some of the key
41,tot_PL total Player Load vel_B1 distance covered between 0 and 1 km/h vel_B2,Chunk 41: Match reports and team news for the weekend's
42,distance covered between 0 and 61 km/h vel_B3 distance covered between 6 and 15 km/h GPS vel_B4,"Chunk 42: All photographs courtesy of AFP, EPA, Getty Images"
43,distance covered between 15 and 20 km/h vel_B5 distance covered between 20 and 25 km/h vel_B6 distance covered at more than 25 km/h,Chunk 43: BBC News takes a look at some of the key
44,acc_B2 number of accelerations above 2 m/s? acc_B3 number of decelerations above 2m/s2 max_vel,Chunk 44: acc_B1 number of accelerations above 2
45,maximum: speed in m/s sleep-qual (VAS10) sleep quality fatigue (VAS10) fatigue state of the player,Chunk 45: Preview and team news for Saturday's Premier League
46,shape (VAS10) being in good shape pre-session questionnaire mood (VAS10) actual mood of the player pain (yes or no),Chunk 46: Match reports and team news for Saturday's Premier
47,"perceived pain inj.worry (if pain, VAS10) worry in relation to pain ill sick or not RPE (VAS10)",Chunk 47: Fear of pain (VAS10) fear of pain ill
48,rating of perceived exertion of the session post-session questionnaire satisfaction (VAS10) satisfaction during his performance pleasure (VAS10) pleasure during the session,"Chunk 48: BBC Sport's Sport Personality of the Year,"
49,"2.2. Predicting Injuries This section presents our approach to predict injuries based on a dataset containing both external load and internal load features. As external load features (GPS) have already shown good results for injury prediction in soccer [19], this study aims to unveil the predictive power of internal load features (questionnaires) relatively to external load ones. Several classifiers were optimised and compared in",Chunk 49: We have developed a novel approach to predict injuries based on a dataset containing both external load and internal load features.
50,"terms of predictive performance. Two prediction perspectives (horizons) were considered in this study: injury at 1 week and injury at 1 month. The models thus constructed can therefore serve as an alert for any new training session for which the model would predict an injury and can be used as an aid to training planning and adjustment. Appl. Sci. 2020, 10, 5261",Chunk 50: The aim of this study was to construct a model to predict the likelihood of an athlete sustaining an injury during a training session.
51,"5of20 Moreover, the models interpretation can provide knowledge for expert in order to have a better understanding of when, how and why injuries happen. 2.3. Data Pre-Processing and Evaluation Protocol Imputation by mean (for numerical variables) and frequency (for categorical variables) was",Chunk 51: The aim of this study was to develop a model that could be used to estimate the risk of
52,"performed upstream the model comparison was made. Categorical variables were transformed into binary dummy ones in order to be handled by all models. Once the dataset was built, all models hyper-parameters were tuned using a Bayesian optimisation procedure (python package scikit-optimise) according to the different evaluation metrics. Since this step was done for models tuning upstream some comparisons between models behaviors and features",Chunk 52: In this paper we have built and tuned a set of hierarchical hierarchical models using python.
53,"sets and not for strict model selection with the aim of being directly used for some new unlabelled data, bayesian optimisation was performed before the main experiments and not included inside our evaluation protocol. The values of the tuned hyper-parameters are given in Appendix A (see Tables A1 and A2). Finally, the models were evaluated by 10-fold cross-validations using 4 measures of predictive",Chunk 53: hyper-parameters were tuned for the following reasons:
54,performance (see Table 2) according to the two predictive horizons previously mentioned (1 week and 1-month). This process was repeated 10 times to check the stability of the model's performances. Table 2. Binary measures of predictive performance. TP+TN How many examples,Chunk 54: The following measures of predictive performance have been used to check the stability of a model for predicting
55,accuracy TPFPTNFN we correctly predicted How many of those precision TFP,Chunk 55: BBC Sport takes a look back at some of the
56,"predicted injury are actually injury recall TEN Of all injury examples, how many of those we correctly predicted",Chunk 56: BBC Sport takes a look back at some of the
57,"Area Under the ROC Curve (AUC) ROC =1 rate (TP/FP) 2.4. Predictive Models The learning models considered in this study are the following: K-Nearest Neighbours (KNN) Linear Discriminant Analysis (LDA)[25,26).",Chunk 57: The following table presents the results of this study:
58,"Logistic regression (logit) Ridge classifier (Ridge) Gaussian Naive Bayes classifier (GNB) [27,28]. Classification tree (tree) [29]. Random forest (forest) [30].",Chunk 58: This paper presents the results of a logistic regression study
59,Support Vector Machine (SVM) [31). Multi-Layer Perceptron (MLP) [32-34]. eXtreme Gradient Boosting (XGB) KNN classifiers are very simple to compute but have the main drawbacks of involving high computation times for large data-sets and to be hard to interpret since in distances computation,"Chunk 59: In this paper, we present a new class of classifiers, called KNN, which can"
60,"between examples, no explicit feature selection or weighting can be directly computed. Classification trees are basic classifiers which can be used in non-linear contexts. They are often used for their graphical outputs which are easily interpretable and provide visualisation of multi-dimensional features impact on class variables. In our context, such tools could help experts to gain knowledge about the relation between training loads and injury risk. They were compared to different generalised",Chunk 60: In this paper we present a classification tree tool which can be used to investigate the relationship between training loads and injury risk.
61,"linear classifiers which are usually categorized as generative or discriminative: models [35]. Naive Bayes classifier and LDA were used as standard generative models, logit, Ridge, MLP and SVM as Appl. Sci. 2020, 10, 5261 6of 20 discriminative ones. In Rossi et al. [19], the authors found that classification tree had higher predictive","Chunk 61: In this study, 20 classifiers which are usually classified as generative or discriminative were used."
62,"performance than other models (including random forest), but since ensemble models are usually more accurate than simple trees, forest and XGB: models were also included in this study. Moreover, all tree-based classifiers (tree, forest and XGB) provide features weights which are precious in terms of models interpretation. Different sets of attributes (see Table 3) were considered in order to highlight the potential",Chunk 62: The potential of tree-based classifiers has been considered in this study.
63,"predictability of injuries levels. First, only the number of past injuries was used as predictor of future injury, then personal features (age, height, weight and BMI) were added to the learning data. The GPS and questionnaire data were first separately considered (in addition to past injuries and personal features) and finally the largest set of variables included all together the different input variables (see Table 1).",Chunk 63: The aim of this study was to investigate the relationship between past injuries and the likelihood of future injuries by using a multi-variable learning model.
64,Table 3. Attributes sets. Set Name Past Injuries Personal Features GPS Data Questionnaires Data only injuries x,Chunk 64: The following table shows the number of people who have
65,personal features x X GPS x,Chunk 65: BBC Sport takes a look back at some of the
66,x x questionnaires X X,"Chunk 66: All photographs courtesy of AFP, EPA, Getty Images"
67,x all x x X,"Chunk 67: All photographs courtesy of AFP, EPA, Getty Images"
68,"x All models were compared to a baseline approach (B) which consists in predicting systematically the most frequent class (e.g., if there is 75% no injury and 25% injury, inNode will systematically predict no injury). All experiments were performed on Python with the following libraries: pandas, xgboost, xgboost,",Chunk 68: In this paper we present three different approaches to predicting the likelihood of an injury in a game: (a)
69,"matplotlib, IPython, pydotplus and performance results were plotted with the 8gplot2 package of R. 3. Results 3.1. Predictive Performance In this section, results are displayed and analysed in terms of the predictive performance. Figures 2 and 3 represent boxplots of the predictive performance of all models according to the",Chunk 69: This paper presents the results of a two-year project to develop a new package for the analysis and prediction of
70,"different feature sets described in Table 3. Table 2 contains a reminder of the notions of accuracy, precision, recall and AUC. In this study, the accuracy is not given priority since it assumes equal weight for different labels whilst on the one hand injuries are highly more sensitive than non-injuries and our dataset is naturally unbalanced since injury is relatively rare. AUC is a standard metric for the evaluation of predictive models given unbalanced dataset but its interpretation is not easy. Therefore","Chunk 70: In this study, we study the relationship between the number of hand injuries and the accuracy of a predictive model given an unbalanced dataset."
71,"precision and recall have the highest priority in some part of this study, recall being slightly prioritised since missing an injury prediction has more severe consequence than falsely predicting one (in terms of health and career). The best performances were obtained with the KNN, tree, forest and XGB classifiers. The logit and GNB classifiers do not seem to be significantly more accurate than the baseline B for all considered feature sets and time-horizons. The same observation can be done for the Ridge",Chunk 71: The aim of this study is to investigate the performance of classifiers on predicting the likelihood of a horse injury.
72,"classifier and MLP but only for 1-week horizon predictions. For all models, performances were better when personal features are included as inputs than when only the number of past injuries is used as predictor of future ones. The addition of GPS and/or questionnaires data in features enabled much higher performances most of the time except for some models (e.g., see Figure 3 the recall of the LDA model for one-month prediction decreases when questionnaire data are used, or in Figure 2 as it is the","Chunk 72: In this study, we compare the performance of a number of regression models on predicting the long-term health of American football players."
73,"case of the precision of MLP for one-week prediction). Appl. Sci. 2020, 10, 5261 7of20 ACCURACY PRECISION","Chunk 73: Researchers at the University of California, Los Angeles,"
74,0.95 a - B  0.90,Chunk 74: The winning numbers in Saturday evening's drawing of
75,0.90 0.854 0.851 0.80 0.751,Chunk 75: The winning numbers in Saturday evening's drawing of
76,0.80 0.70 0.75 KNN LDA logit Ridge GNB tree forest SVM MLP XGB KNN LDA logit Ridge GNB tree forest SVM MLP XGB,Chunk 76: logit Ridge GNB tree forest SVM MLP
77,type E onlyinjuries E personnalleatures E GPS E questionnaires E all type E onlyinjuries E personnal leatures E GPS E questionnaires E RECALL AUC P,"Chunk 77: All photographs courtesy of AFP, EPA, Getty Images"
78,hosne 0.8 0.8 0.61 0.6,Chunk 78: BBC Sport takes a look back at some of the
79,0.4 0.4 0.24 KNN LDA logit Ridge GNB tree forest SVM MLP XGB KNN LDA logit Ridge GNB tree forest SVM MLP XGB,Chunk 79:     
80,"type E onlyinjuries E personnal leatures E GPS E questionnaires E all type E onlyinjuries E personnal leatures E GPS E questionnaires E all Figure 2. One-week predictive performance of ten machine learning methods according to five types (in color) of data sets. Predictive: results are presented as box plots, in which the box indicates quartile values; the whiskers indicate the upper and lower values; circle indicates outlier.",Chunk 80: This paper presents one-week predictive performance of ten machine learning methods according to five types of data sets.
81,"According to those remarks, Figures 4 and 5 represent the results obtained for KNN and tree-based classifiers with features including past injuries, personal features and GPS or/and questionnaires data. The terms 'GPS' and 'questionnaire' 'features sets' will implicitly include past injuries and personal features in the following of this manuscript. It appears clearly that the choice of features has a higher impact on short terms (1 week) predictions than on mid term (1 month) ones. It is",Chunk 81: The results of this study have been published in the Journal of Personality and Social Psychology.
82,"also noticeable that higher performance can be obtained for 1 month predictions with maximum values around 97% for all metrics, probably due to less important labels imbalance (considering 1-week horizon, injury is a much more rare event than for 1-month time windows). In the latter configuration best performances were always obtained with XGB closely followed by random forest. For 1 week predictions, the best accuracy and recall were obtained by random forest with GPS",Chunk 82: For 1 week predictions the best accuracy and recall were obtained by random forest with GPS.
83,"data, the highest precision with classification tree and the best AUC was achieved by XGB. It is remarkable that for 1 week horizon, best predictions are always obtained with questionnaires data with a significant difference comparing to GPS data for the same models. In that time window, GPS data even seem to worsen injury prediction quality (e.g., for tree we have Perfommamaqeliommair, > performance(GPS + questionnaire)). This could be explained by the fact that internal load has a more","Chunk 83: In this study, we have compared the performance of two different knee injury prediction models on a 1 week horizon."
84,"""readable"" impact on short-term injury risk through the expressiveness of questionnaires contrary to Appl. Sci. 2020, 10, 5261 8of 20 external load which tends be more objective and correlated to injury risk on accumulation over time periods when exceeding some natural thresholds.",Chunk 84: The relationship between short-term injury risk and the amount of external load on a person's
85,ACCURACY PRECISION * - 6,Chunk 85: The winning numbers in Saturday evening's drawing of
86,0.94 0.9  0.8 0.7 0.7,Chunk 86: BBC Sport takes a look at some of the key
87,0.6 0.61 0.5 KNN LDA logit Ridge GNB tree forest SVM MLP XGB KNN LDA logit Ridge GNB tree forest SVM MLP XGB,Chunk 87: KNN LDA logit Ridge GNB tree
88,type E onlyinjuries E personnalleatures E GPS E questionnaires E all type a onlyinjuries E personnals leatures E GPS E questionnaires E l RECALL AUC -,Chunk 88: Researchers at the University of Ulster have used GPS technology to
89,- bn 0.91 0.9 0.8,Chunk 89: BBC Sport takes a look back at some of the
90,0.81 0.7 0.7 .6 0.6,Chunk 90: The winning numbers in Saturday evening's drawing of
91,0.5 0.5 KNN LDA logit Ridge GNB tree forest SVM MLP XGB KNN LDA logit Ridge GNB tree forest SVM MLP XGB type E onlyinjuries E personnall leatures E GPS E questionnaires E all,Chunk 91: Logit Ridge GNB tree forest SVM MLP XGB KNN 
92,"type E onlyinjuries E personnals leatures E GPS E questionnaires E Figure 3. One-month predictive performance of ten machine learning methods according to five types (in color) of data sets. Predictive: results are presented as box plots, in which the box indicates quartile values; the whiskers indicate the upper and lower values; circle indicates outlier. For 1 month predictions, with the most performing classifier (XGB), GPS data (without",Chunk 92: This paper presents one-month predictive performance of ten machine learning methods according to five types (in color) of data sets.
93,"questionnaires). enabled better predictions than questionnaires features. In that configuration (for XGB) the highest accuracy, prediction and recall were obtained with the largest features set (GPS with questionnaires data) while the highest AUC was obtained with GPS data alone. This last finding about 1-month predictions has to be put into perspective since on the one hand XGB performance differences according to features sets were not very high, and random forest performance differences",Chunk 93: The spatio-temporal prediction of forest cover in the XGB dataset was improved by the use of features sets (e.g.
94,"have often the opposite sign of XGB's ones (with no significant performance differences between those two classifiers): for forests, predictions computed with questionnaires data were more efficient than with GPS data. Appl. Sci. 2020, 10, 5261 9of20","Chunk 94: In this study, we compare the performance of two different classifiers: XGB"
95,ACCURACY PRECISION 0.975 0.975 = -,Chunk 95: BBC Sport takes a look at some of the key
96,E  E 0.950 0.950 0.925,Chunk 96: E E 0.950 0.950 0.950 what is
97,0.925 0.900 0.900 KNN tree forest XGB KNN,"Chunk 97: All photographs courtesy of AFP, EPA, Getty Images"
98,tree forest XGB RECALL AUC 0.975 0.975,Chunk 98: BBC Sport takes a look at some of the best
99,5 - E 5 * 0.950,Chunk 99: BBC Sport takes a look back at some of the
100,0.950 0.925 0.925 0.900 0.900,Chunk 100: The winning numbers in Saturday evening's drawing of
101,0.875 0.850 KNN tree forest XGB KNN tree forest XGB type GPS questionnaires all,"Chunk 101: All photographs courtesy of AFP, EPA, Getty Images"
102,"Figure 4. One-month predictive performance of best models according to three types (in color) of data sets. Predictive: results are presented as box plots, in which the box indicates quartile values; the whiskers indicate the upper and lower values; circle indicates outlier. Appl. Sci. 2020, 10, 5261 10 of 20",Chunk 102: One-month predictive performance of best models according to three types of data sets.
103,ACCURACY PRECISION 0.93- 0.94 0.92,"Chunk 103: All photographs courtesy of AFP, EPA, Getty Images"
104,0.93 0.92 0.91 E 0.91,Chunk 104: E-mail this Article Print this Article Share this
105,0.90 0.90 0.89 KNN tree forest XGB,"Chunk 105: ,,,,"
106,KNN tree forest XGB RECALL AUC 0.95,Chunk 106: http://www.digtriad.com/
107,TE 0.94- 0.94 E 0.93,Chunk 107: TE 0.94- 0.94 E 0.93
108,-T 0.92 - 0.92 0.90,Chunk 108: The winning numbers in Saturday evening's drawing of
109,0.91 0.90 0.88 KNN tree forest XGB,"Chunk 109: ,,,,"
110,"KNN tree forest XGB type GPS questionnaires all Figure 5. One-week predictive performance of best models according to three types (in color) of data sets. Predictive results are presented as box plots, in which the box indicates quartile values; the",Chunk 110: The results of this study are presented in Figure 5.
111,"whiskers indicate the upper and lower values; circle indicates outlier. 3.2. Predictive Explanation In order to obtain as much information as possible from the predictive models used, 2 types of representation. are proposed here: graphs corresponding to decision trees for legitimate configuration (i.e., when decision tree",Chunk 111: The following table shows the relationship between the following variables:
112,"performs well according to Section 3.1) the weights of predictive variables obtained from tree-based models In both cases, the models were learned over the entire dataset sO as to use the maximum available information. Appl. Sci. 2020, 10, 5261",Chunk 112: Two new tree-based models have been developed for the prediction of the likelihood of a
113,"11 of 20 Table 4 represents the best (feature set & classifier) couples for all configurations (horizons & metrics) according to Figures 4 and 5. Thus, classification tree learnt on the questionnaires data is the best 1-week injury prediction model for precision. Figure 6 represents the top of the classification trees obtained for 1-week prediction of injuries",Chunk 113: Table 4 represents the best (feature set & classifier) couples for all configurations (horizons & metrics) according to Figures 4 and
114,with a hyper-parameters tuning toward precision evaluation metric on questionnaires data (according to Table 4). The complete tree is given in Appendix A (see Figure A1). Table 4. Features importance configurations. Horizon Metric Set Name Classifier,Chunk 114: The following table lists the key features of the Horizon Metric Set.
115,1 week precision questionnaires tree 1 week recall questionnaires forest 1 month precision all XGB,Chunk 115: BBC News NI looks at some of the key findings
116,1 month recall all XGB All nodes contain different information: a discriminative condition relatively to 1 feature (with a numerical threshold) that determines,Chunk 116: The BBC News website is not responsible for the content
