Chunk Number,Original Text Chunk,Summary
11,"and size evolution. In this work, we have quantified these changes using a novel experimental procedure combining (i) micropillar extraction from an additively manufactured stainless steel, (ii) subjecting them to different SSTC (including annealing) inside a TEM, (iii) performing synchrotron transmission X-ray microscopy to identify precipitates, and (iv) using a machine learning model to segment precipitates and quantify precipitate volume fraction, density, and size. Comparing these quantities before and after each",Chunk 11: The evolution of precipitates inside a high-energy X-ray beam (TEM) has been studied in detail in a series of papers.
12,"SSTC/annealing sequence reveals that new oxides nucleated during rapid SSTC with high maximum temperature. However, during slow SSTC with high maximum temperature and annealing, precipitates dissolve because of oxygen evaporation during SSTC inside the TEM. A new empirical relationship cor- relating precipitate sizes and cooling rates is proposed. It is in good agreement with data collected from conventional casting, directed energy deposition, and powder bed fusion processes.",Chunk 12: The morphology and cooling rates of oxide precipitates have been investigated at temperatures of up to 500 C in a transverse Electron Microscopy (TEM)
13,"1 Introduction Austenitic stainless steels, in particular 316L, have attracted wide attention in additive manufacturing (AM) because of their utilization in a large variety of applications and their corrosion resistance. AM of 316L parts is mainly performed either by directed energy deposition, primarily using a laser, e.g., the laser metal deposition process (LMD), or by laser powder bed fusion (LPBF). Both techniques result in","Chunk 13: In this paper, we report on the development and use of additive manufacturing techniques for the production of 316L parts."
14,"a hierarchical microstructure with physical and chemical heterogeneities across multiple length scales. 1 Sub-micron sized oxide (i.e., MnSiO3, SiO2, and CrMn204) [1-5] and non-oxide (i.e., sulfide such as Mns) [4,5] precipitates are among the smallest chemical and physical heterogeneities present in any as-built 316L. These precipitates play an important role in determining the mean free path of dislocations",Chunk 14: The microstructure of 316L has been described in detail for the first time.
15,"and may contribute to an increase in the yield strength of the material [1,2,6,7. They can also act as nucleation sites for cracks [8] and have deleterious effects on the corrosion resistance of 316L [9). One of the main contributors to the formation of oxide precipitates in AM 316L is the oxygen in- troduced into the solid-solution of the alloy during the gas atomization process used to manufacture the powder feedstock [3). Another contributor is the oxygen induced into the material from the environment",Chunk 15: The formation of oxide precipitates in AM 316L can have a number of benefits.
16,"during the AM process and the amount added depends on the AM process parameters such as laser power, scan speed, and shielding gas flow rate [1,10,11]. Oxide precipitates formed during the gas atomization process can persist in the liquid phase during AM [3), and new oxides can nucleate and grow during the rapid solidification phase of an AM process as shown via mean field nucleation and growth models [7. Along with the oxides, non-oxide precipitates can also nucleate and grow during solidification, often in",Chunk 16: The growth of oxides and non-oxide precipitates during atomic force microscopy (AM) has been studied.
17,"the vicinity of the oxides [4,12). After building, AM parts are often heat-treated to obtain desired mechanical properties and reduce residual stresses. The evolution of these precipitates (oxide and non-oxides) was investigated during annealing treatments 2, 5, 6, 13J by scanning and transmission electron microscopy (SEM and TEM, respectively). The results show coarsening and phase transformations of these precipitates to more stable",Chunk 17: The evolution of oxide and non-oxide precipitates during annealing at temperatures up to 13J has been investigated.
18,"precipitates. In addition to these observations, faster coarsening kinetics of oxides were observed at the early stage of recrystallization due to grain boundary diffusion [5] accompanied by the following effects of the recrystallization on phase transformation [5): MnSiO3 to CrMn204 for non-recrystalized grains and MnSiO3 to Si-rich oxides in recrystallized grains. However, the impact of an important part of the AM process on the formation of precipitates has not",Chunk 18: Recrystallization of grains using atomic force microscopy (AFM) has been reported for the first time.
19,"yet been well studied. This part is the long period after solidification and until the end of the process during which the material is subjected to multiple heating and cooling cycles at different temperature amplitudes (up to the solidus) and heating and cooling rates (up to 103-106 oC/s) in the solid state, which is called solid-state thermal cycling (SSTC) or intrinsic heat treatment. Thus far, only one study [41 has reported on the effect of SSTC on precipitate evolution. In this study, TEM lamellae were subjected to",Chunk 19: The evolution of TEM lamellae during the solidification process has been poorly understood.
20,"SSTC inside a TEM and the precipitate composition evolution before and after each SSTC was compared. While such studies are well suited to understand precipitate composition evolution, it is not possible to conclude on precipitate volume fraction, density, and size evolution during SSTC because of the thin sample geometry and the limited number of precipitates studied. To that end, in this work, a novel experimental procedure is proposed. It involves subjecting micropil-",Chunk 20: The evolution of the precipitate composition inside a TEM has been investigated in a series of experiments.
21,"lars extracted from AM 316L to SSTCS in a controlled environment (vacuum) and measuring precipitate evolution in them by performing nanotomography using transmission X-ray microscopy (TXM), before and after each SSTC. The micropillars are 25 um in diameter and 75 pm in height, which is more than 3 orders of magnitude larger than TEM lamellae and hence, more representative; thus, TXM studies on micropillars are better suited to study the volume fraction, density, and size evolution of precipitates",Chunk 21: The morphology of precipitates extracted from AM 316L and SSTCS has been compared with that of lamellae.
22,in AM 316L than TEM studies on thin-film lamellae. The nature of the SSTCS performed on the mi- cropillars is determined with the help of heat transfer finite element (FE) simulations. A 3D U-net deep convolutional neural network (DCNN) model developed in [14] was used to segment precipitates from the TXM data. 2 Material and methods,"Chunk 22: In this paper, we report the results of a novel superconductivity study (SSTCS) on mi- cropillars"
23,"Material composition, AM process parameters, experimental techniques, and setups used in the present work have been already presented in our previous works [4,12, 14]. Thus, only a brief recapitulation of the material and methods is provided here. 2.1 Material and sample preparation A 316L powder produced via inert gas atomization was investigated. The chemical composition of",Chunk 23: This work is the latest in a series of papers on the synthesis of 316L powder using atomic force microscopy (AFM).
24,"the powder is (wt%): Fe16.9C-127N-25Mel3Mln0rs-0015P-00IIC.0.005S: oxygen up to 0.05 % may be added to the powder during atomization. A single track bidirectionally printed wall of 3 layers (100x0.6x0.6 mm3) was manufactured via LMD using a ""Mobile"" machine from BeAM with the following 2 parameters: laser power = 225 W, powder flow rate = 6.5 g/min, deposition speed = 2000 mm/min, and","Chunk 24: A single track bidirectionally printed wall of 3 layers (100x0.6x0.6 mm3) was manufactured via LMD using a ""Mobile"" machine"
25,"vertical displacement of focusing head = 0.2 mm between each layer. This wall is the same as the one used in [4, 12,14). After cutting (normal to the build and print directions) and polishing (Sic paper up to 4000 grit, followed by 3 pm and 1 pm grit diamond paste, and finally Ar ion polishing), the as-built wall was characterized by SEM and electron back-scattered diffraction (Oxford Instruments) analysis using an",Chunk 25: This is a 3D model of a wall made from two layers of diamond.
26,"environmental-SEM Quanta 650 FEG microscope; the images can be found in [4,12). Regions of interest close to the center of the wall thickness in the first, second, and third layer were defined and cylindrical micropillars of 2 25 m diameter and 2 75 um height were extracted from these regions using a focused ion beam (FIB) inside a FEI Helios Nanolab 660 dualbeam SEM-FIB. To reduce the time to manufacture micropillars, a 30 kV high voltage and a 65 nA beam current have been used to mill the surrounding",Chunk 26: Micropillars have been produced in a dualbeam SEM-FIB using a 30 kV high voltage and a 65 nA beam current.
27,"area. Then, a beam current of 21 nA has been used to extract the micropillars and to do surface polishing. Figures la and b show the secondary electron micrographs taken during the FIB preparation and extraction of a micropillar. The micropillars were then attached onto MEMS-based heating/cooling chips (called thermal chips in the following), which are transparent to electrons, using tungsten via ion beam-induced deposition at 30 kV and 0.43 nA (see Figure 1c). Micropillars 1, 2, and 3 were extracted","Chunk 27: In this study, tungsten micropillars have been prepared and attached to MEMS-based heating/cooling chips, using tungsten via ion beam-induced deposition at 30 kV and 0.43"
28,"from the top, middle, and bottom layers of the LMD 316L wall, respectively. Thus, micropillars 2 and 3 were already subjected to SSTC during AM (e.g., for micropillar 2 see Figure 7 in [41). In the following, micropillars 1, 2, and 3 will be denoted as pP1, pP2, and pP3, respectively. b) 50-um","Chunk 28: micropillars 1, 2, and 3 were subjected to SSTC during AM (e.g., for micropillar"
29,"50 um : : 50 um Figure 1: Secondary electron micrographs of a micropillar: a) after milling and before its extraction from the sample, b) attached to the FIB manipulator to be transferred onto a thermal chip, and c) attached onto a thermal chip. The micropillars are 2 25 pm in diameter and 2 75 pm in height.",Chunk 29: Figure 1: Secondary electron micrographs of a micropillar.
30,"2.2 Setup to perform SSTC inside a TEM To perform SSTC, each micropillar was attached to a thermal chip (Figure 1c), which can be mounted onto a thermal chip holder (Fusion Select Protochips) developed for TEM. The holder can heat the chip from room temperature (RT) to a maximum of 1200 °C and cool it back down to RT, with maximum heating and cooling rates of 106 °C/s. A FEI Titan3 G2 60-300 TEM was used with this holder to","Chunk 30: In this study, we have used a thermal electron microscope (TEM) to perform single-photon scattering (SSTC) inside a Petri dish."
31,"perform SSTC in primary vacuum (at about 10-8 mbar). This setup to perform SSTC on micropillars has the following advantages: (i) the primary vacuum inside the TEM ensures that the micropillar is not oxidized during SSTC, (ii) the thermal chip has been benchmarked (by Protochips) for temperature amplitude and heating and cooling rates mentioned above, and (iii) the micropillars are uniformly heated and cooled everywhere, which has been confirmed via FE","Chunk 31: In this paper, we report on the use of a thermal imaging microscope (TEM) to perform single-photon transfer (SSTC) on silicon micropillars"
32,"based heat transfer simulations described in Section 2.3 and presented in Section 3.1. 2.3 Heat transfer simulation setup The electrothermal chips used to perform SSTC have been designed to uniformly heat and cool TEM lamellae, which have a typical surface area of 2 5 X 5 pm2 and thickness of 2 0.1 pm. However, it is not sure whether the chip can uniformly heat (cool) micropillars of diameter 25 pm and height 75 um up to",Chunk 32: This paper presents the results of a heat transfer simulation (SSTC) using electrothermal chips designed to uniformly heat and cool TEM lamellae.
33,"3 the maximum temperature at the highest heating (cooling) rate. To gain insight on this aspect, transient heat transfer FE simulations were performed. During the experiment, each micropillar had been placed in such a way that one of its circular surfaces was in contact with the chip and they were held in place using three ""+""-shaped tungsten contacts (see","Chunk 33: Researchers at the University of California, Los Angeles (UCLA), and the University of California, Berkeley (UC Berkeley), have developed a new"
34,"Figure 1c). The micropillars were heated via their contact with the chip through the tungsten contacts and via radiative heat transfer from the chip. However, in the simulations, we assume the most adverse scenario, which is that the micropillars are only heated via the ""+""-shaped contacts; this assumption results in the highest temperature gradients. It is further assumed that these tungsten contacts conduct heat perfectly from the chip to the micropillar i.e., at any given instant, the tungsten contacts have the","Chunk 34: In this paper, we simulate the heat transfer between the micropillars of a gallium arsenide (GaAs) chip and their tungsten contacts (Fig."
35,"same temperature as the chip. Even further, it is assumed that the portion of each of these tungsten contacts at the bottom of the curved surface of the micropillar is a square of size 6 X 6 pm2 with negligible thickness. Two contacts are placed at 180° with respect to each other and the third one is at 90° to the other two about the micropillar axis (see Figure 2). In the simulation, the tungsten contacts are: mimicked by imposing temperature (Dirichlet) boundary condition at their location. The remainder of the curved","Chunk 35: In this paper, we simulate the operation of three tungsten contacts on a curved surface of a silicon micropillar."
36,"surface and the flat surfaces are imposed with zero heat flux (Neumann) boundary condition. The initial, ambient, and reference temperatures are all set to 20 oC. Since radiation and other heat sources and sinks are neglected, the governing equation to be solved is: pci = KAT",Chunk 36: This paper presents a novel method for solving the governing equation for the heat transfer coefficient (KAT) of a
37,"(1) where T is the temperature, P = P(T), Cy = C(T), and k = K(T) are the temperature dependent density, specific heat at constant volume, and thermal conductivity, respectively, as shown below. The heat conduction is assumed to be isotropic and any spatial variation in k is assumed to be negligible in comparison to spatial variations in T. The temperature dependency of P, Cus and k for 316L are given","Chunk 37: The temperature dependence of 316L on P, Cus and k is given in terms of densities, specific heat at constant volume, and thermal conductivity."
38,by [15): C(T) = 458.98 + 0.1328 T J/(kg.K) P(T) = 8084.2 - 0.4208 T - 3.8942 X 10 -5 T2 kg/m,Chunk 38: The latest exchange rates between the British pound and the
39,(2) K(T) = 9.248 + 0.0157 T W/(m.K) ABAQUS/Standard (time implicit) software [16] from Dassault Systèmes was used to perform the FE simulations. The simulated micropillar was meshed using 120932 non-uniformly sized 4-node linear,Chunk 39: A finite element (FE) simulation of a micropillar has been carried out
40,tetrahedral elements (type DC3D4 in ABAQUS) as shown in Figure 2. Tungsten contacts 6x6 ym2 Nodes used to extract temperature 0 25 um,Chunk 40: Tungsten contacts 6x6 ym2 Nodes
41,15 ym Figure 2: Illustration of the meshed micropillar geometry used for FE simulations; 120932 non-uniformly sized 4-node linear tetrahedral elements (type DC3D4 in ABAQUS) were used. The location of tungsten contacts (2 out of 3) used to impose temperature boundary conditions as well as the two nodes used to extract temperature are indicated.,Chunk 41: Figure 2: Illustration of the meshed micropillar geometry used for FE simulations; 120932 non-uniformly sized 4-node linear
42,"2.4 TXM: Transmission X-ray Microscopy TXM has been used to characterize precipitate evolution inside samples before and after each SSTC performed on each micropillar. The experiments were conducted at the ANATOMIX beamline [17 of 4 the synchrotron SOLEIL (Saint-Aubin, France) using the absorption contrast TXM approach [18). A",Chunk 42: The Transmission X-ray Microscopy technique (TXM) has been used for the first time to study
43,"monochromatic X-ray beam energy of 16.87 keV was used. The samples were illuminated by placing the condenser 2 m in front of the sample. The objective zone plate was 69.68 mm from the sample. A Hamamatsu C12849-112U detector (2048 X 2048 pixels with a pixel size of 6.5 X 6.5 pm?) was placed at 30 m from the sample. It provided a field-of-view of 30 X 30 pm? and a pixel size of 29.33 nm (using a 2 X 2 binning). While the field-of-view was sufficiently larger than the diameter of the micropillars,","Chunk 43: In this study, two samples of strontium-90 were irradiated with an X-ray beam from a Hamamatsu C12849-112U detector at 30 m from the sample."
44,"it was however insufficient to cover their height. To that end, three measurements along the height of the micropillars were necessary. For each measurement, 1000 projections of 1 S exposure time each were acquired at RT over an angular range of 180° to guarantee the best spatial resolution possible during the reconstruction and a good signal-to-noise ratio. A resolution of 81 nm, i.e., the minimum precipitate diameter that can be measured, was achieved with the current setup and analysis workflow",Chunk 44: Micropillars have been used for the reconstruction of the morphology of precipitates.
45,"(see Section 2.5). This was confirmed with SEM investigations accounting for stereological corrections. In order to improve the signal-to-noise ratio, each measurement was repeated four times and the four sets of data were merged during reconstruction. The PyHST software package [19] was used for data pre-processing and tomographic reconstruction. Figure 3a shows an image slice of 1024 X 1024 pixels of the TXM data after reconstruction and merging. Bright contrast in gray is a slice of the micropillar while",Chunk 45: The TXM data were reconstructed using the PyHST software package.
46,the surrounding dark contrast is the environment and region outside of the reconstruction. Precipitates have a spherical morphology and are visible as dark contrast within the micropillar slice. a) b) c),Chunk 46: This is a reconstruction of a micropillar slice taken from the Hubble
47,"5 um 5 um 10 um Figure 3: Example of a) an image slice (1024 X 1024 pixels) from a TXM tomograph of a micropillar,",Chunk 47: Figure 3: Example of a slice from a TXM
48,"b) corresponding precipitate segmentation using the 3D U-net DCNN from a micropillar, and c) a 3D view of the reconstructed TXM data (1024 X 1024 X 540 voxels) with spherical segmented precipitates highlighted in blue. 2.5 Segmentation and analysis Precipitate segmentation of TXM micrograms have been performed using the 3D U-net DCNN model'",Chunk 48: The following is a list of papers published in the journal Science:
49,"presented in [14). The segmented volumes returned by the 3D-DCNN were analyzed with the ImageJ software [20] to obtain characteristic feature information such as the volume fraction, the average diam- eter, and the number of precipitates. The 3D U-net DCNN model takes into account the neighboring volume during segmentation of a voxel; therefore, objects near the edges of the investigated data are not well segmented. This bias is corrected by removing the first five and last five slices of the volume",Chunk 49: A 3D-DCNN and a 3D U-net DCNN have been developed for the segmentation of 3D voxel data.
50,"after segmentation. In addition, large precipitates (V N 2000 voxels) are not well segmented by the model and were manually segmented as they are sparse in the volume. An example of a segmented image slice is shown in Figure 3b and an example of a segmented volume is shown in Figure 3c. Precipitate analysis was performed with the 3D object counter plugin available in ImageJ including objects on edges. A minimum volume size of 8 voxels was defined corresponding to an equivalent sphere with a diameter",Chunk 50: This paper presents a novel approach to segmentation of large precipitates by means of a 3D object counter in ImageJ.
51,of 81.1 nm. The precipitates present a spherical morphology in the as build that remains after heat- treatments independently of the conditions. The following quantities are presented and analyzed in this work: 1The python code for this model along with fitted weights for segmenting precipitates in micropillars has been made available for users via a CC-by-4.0 license at tye/fgithb.co/amaspadhyy/erey gammi 3D-DCNN.,Chunk 51: The morphology of precipitates in a micropillar has been investigated using a python model.
52,5 Volume fraction (f): the ratio of the sum of the volume of all precipitates and the volume of the part of the micropillar investigated. Particle density (p): the ratio of the weighted number of precipitates and the volume of the part of the micropillar investigated. Precipitates in contact with edges were weighted by 0.5 while,Chunk 52: Particle density (p): the ratio of the weighted number of precipitates and the volume of the part of the micropillar investigated.
53,"precipitates in the bulk were weighted by 1. Average equivalent diameter (p): computed from the equivalent diameter of each precipitate, which is calculated from the segmented volume of the precipitate. The precipitates in contact with edges have been excluded because they are incomplete i.e., a part of the volume is missing from the analyzed volume.",Chunk 53: precipitates in the bulk were weighted by 1.
54,"As the aforementioned quantities are similar along the height of each micropillar, due to their small sizes compared to the bulk sample, only their mean value is studied. The error bars of f and P represent the dispersion (standard deviation) of the three experimental measures obtained from the three experiments performed to cover each micropillar. The error bars in 9 represent the dispersion (standard deviation) of all considered precipitates in a micropillar.",Chunk 54: The mean values of the three experimental measures obtained from the three experiments performed to cover each micropillar are presented.
55,"3 Results 3.1 Heat transfer simulation FE heat transfer simulations are first performed to understand up to what heating rates can the mi- cropillars be uniformly heated by the thermal chips used to subject micropillars to SSTC; as presented in Section 2.2, the thermal chip can reach a maximum temperature of 1200 oC and maximum heating",Chunk 55: The heat transfer between the mi- cropillars and the SSTC micropillars is investigated in this paper.
56,"and cooling rates of 106 oC/s. Using the simulation setup presented in Section 2.3, four rapid heating simulations were performed. The temperature at the location of the tungsten contacts (Figures 1c and 2) is increased from 20 °C (RT) to 1200 °C at four different heating rates: 103 °C/s, 104 oC/s, 105 oC/s, and 106 oC/s; the respective simulation times are 1.18 s, 1.18x10-1 S, 1.18x10-2 S, and 1.18x10-3 S. Figure 4a shows the temperature as a function of time (normalized with respect to maximum simulation","Chunk 56: The temperature at the location of tungsten contacts has been increased from 20 C (RT) to 1200 C at four different heating rates: 103 C/s, 104 oC/"
57,"time) extracted from the bottom and the top position of the simulated micropillar (see Figure 2) for each heating rate. Figure 4b shows the temperature difference between the top and the location of the tungsten contacts. Simulation predictions show that as the applied heating rate increases, the tempera- ture difference also increases. Table 1 reports the highest temperature difference (ATmaz) predicted from each simulation and the temperature (T) at the tungsten contact points. For a heating rate of 103 oC/s,",Chunk 57: The temperature difference between the top and the location of the tungsten contacts in a micropillar is shown in Figure 4a.
58,"the maximum difference is lower than 1 oC. It increases by an order of magnitude with a corresponding increase in the order of magnitude of the heating rate. The temperature difference can be considered to be negligibly small in the case of 103 oC/s. However, it becomes significant in the case of higher heating rates. Therefore, in order to restrict ourselves to the case of uniform heating of the micropillars, the maximum heating and cooling rates used to perform any",Chunk 58: The maximum heating and cooling rates used to perform uniform heating and cooling of the micropillars have been determined.
59,SSTC were less than or equal to 103 OC/s. 6 a) 1200 bottom 1030Cis bottom 104 Cls,Chunk 59: SSTC were less than or equal to 103 OC
60,"1000 bottom 105 PCls bottom 106 PCls top 103 ""Cls top 104 ""Cls 800",Chunk 60: BBC Sport takes a look at some of the key
61,top 105 PCls top 106 oCls 600 400 -,Chunk 61: BBC Sport takes a look back at some of the
62,"200 0 b) 1030Cis 104 ""Cls",Chunk 62: BBC Sport takes a look back at some of the
63,"105 ""CIs 1000 106 ""CIs 8 100 10",Chunk 63: BBC Sport outlines some of the key stories of the
64,I A 1 0.1 0 0.2 0.4 0.6 0.8 1,Chunk 64: BBC Sport takes a look at some of the key
65,"Normalized time Figure 4: Heat transfer FE simulation predictions during heating of the micropillar with heating rates ranging from 103 oC/s to 106 oC/s from 20 oC to 1200 OC: a) temperature evolution at the location of tungsten contacts (continuous lines) and at the top (dashed lines) of the micropillar (the two nodes used to extract temperature are shown in Figure 2), and b) the temperature difference between the two nodes",Chunk 65: Figure 4: Heat transfer FE simulation predictions during heating of the micropillar with heating rates ranging from 103 oC/s to 106 oC/s from 20 oC
66,"as a function of time (normalized with respect to the maximum simulation time: 1.18 S, 1.18x10-1 s, 1.18x10-2 S, and 1.18x10-3 s respectively for 103 oC/s, 104 oC/s, 105 oC/s, and 106 °C/s). Table 1: The highest temperature difference along the micropillar (ATmaz) and the applied temperature on the tungsten contact points at the bottom of the micropillar at which ATmaz occurs, predicted from heat conduction FE simulations.",Chunk 66: The highest temperature difference along the micropillar (ATmaz) and the applied temperature on the tungsten contact points at the bottom of the micropillar at which AT
67,"Heating rate (°C/s) AT, mar (°C) T (°C) 103 0.9 56 104",Chunk 67: BBC News NI takes a look at some of the
68,8.5 85 105 76 256,Chunk 68: A selection of photographs from around the world this week
69,106 533 1062 7 3.2 Subjecting micropillars to SSTC inside a TEM,Chunk 69: BBC News NI takes a look at some of the
70,"Each micropillar has been subjected to different SSTCS in order to mimic what could occur during AM or post-process annealing. The SSTCS were designed to investigate the effect of heating rate, temperature amplitude, the number and type of cycles, and annealing on the evolution of precipitates. Figure 5 shows the temperature as a function of time curves of the SSTCS applied on each micropillar via the thermal chips.",Chunk 70: Figure 4 shows the microstructures of the micropillars that have been subjected to different Selective Stirring Technology Benches (SSTCS) at different temperatures.
71,SSTC1 SSTC2 SSTC3 1200 1000,Chunk 71: BBC Sport takes a look back at some of the
72,800 a 600 400 200 0,Chunk 72: The winning numbers in Saturday evening's drawing of
73,0 0.5 1 1.5 2 2.5 A 0 3000 6000 9000 12000 15000 18000 3 0 2500 5000 7500 2 Time (s) Times (s) Time (s),Chunk 73: The winning numbers in Saturday evening's drawing of the
74,SSTC1 SSTC2 1200 1000 - 800,Chunk 74: BBC Sport takes a look back at some of the
75,600 mwwA M -V VV 2 wny 400 200,Chunk 75: BBC Sport takes a look back at some of the
76,0 0 25 50 75 100 1800 1825 1850 1875 2 0 1000 2000 3000 4000 Time (s) Time (s),Chunk 76: Match reports and team news for the weekend's
77,SSTC1 1200 1000 800 600,Chunk 77: A selection of photographs from across the African continent this
78,400 200 0 0 200 400 600 800 - Time (s),Chunk 78: BBC Sport takes a look back at some of the
79,Figure 5: Temperature as a function of time curves of SSTC conducted under vacuum with the thermal chip for each micropillar. TXM measurements (TXM e have been performed before and after each SSTC. pP1 has been subjected to three SSTCs: 1. P1-SSTC1: Single fast heating and cooling cycle up to 1000 oC with a heating and cooling rate,Chunk 79: pP1 has been subjected to three SSTCs.
80,"of 1000 °C/s, starting and ending at RT. 2. P1-SSTC2: Repeated heating and cooling cycles. The first cycle consists of heating up to 1000 oC and cooling down to 50 °C at 1 °C/s. Then, the maximum and minimum temperature reached has been respectively decreased and increased by 50 oC until 600 C was reached. The heating and cooling rates were reduced after each cycle to maintain a 1950 S long cycle.",Chunk 80: P1-SSTC1: A long cycle of heating and cooling.
81,"3. P1-SSTC3: Annealing for 2 hours at 1100 oC. A heating rate of 10 oC/s was used to reach the annealing temperature from RT. At the end, the micropillar was cooled down to RT at 1000 °C/s. pP2 has been subjected to two SSTCs: 1. P2-SSTC1: Repeated heating and cooling cycles. The first cycle consists of heating up to 1000 oC, a cooling down to 50 OC at 1000 oC/s, and finally a cooling down to 25 OC at 5 oC/s. Then, the",Chunk 81: The micropillar pP2 has been annealing at 1100 oC and cooled down to RT at 1000 C/s.
82,"maximum and minimum temperature reached has been respectively decreased and increased by 50 oC until 650 oC was reached. The heating and cooling rate was reduced after each cycle to maintain a 7 s long cycle. Then, cycles between 650 C and 550 OC with a heating and cooling rate of 30 oC/s were repeated until the end. 8",Chunk 82: An experiment has been carried out to see if it is possible to maintain a temperature of 650 C in a controlled manner.
83,"2. pP2-SSTC2: Repeated heating and cooling cycles. The first cycle involves heating up to 1000 °C and cooling down to 50 oC, both at 10 °C/s. Then, the maximum and minimum temperature reached has been respectively decreased and increased by 50 oC until 650 °C was reached. Then, cycles between 650 OC and 550 °C are repeated. The heating and cooling rate was reduced after each cycle to maintain a 195 S long cycle.",Chunk 83: A long-term heating and cooling experiment has been carried out to study the effects of repeated heating and cooling cycles.
84,"pP3 has been subjected to one SSTC: 1. P3-SSTC1: Annealing for 10 minutes at 1100 OC. A heating rate of 1000 oC/s was used to reach the annealing temperature from RT. At the end, the micropillar was cooled down to RT at 10 oC/s. 3.3 Precipitate evolution in micropillars via TXM Figure 6 shows the evolution of the volume fraction f (vol%), particle number density P (#/um), and",Chunk 84: Figure 3 shows the evolution of pP3 micropillars from annealing to RT.
85,"average equivalent diameter 9 (m), respectively, of the precipitates in pP1, pP2, and pP3 after their respective SSTCs. The results are summarized in Table 2. The initial f, P, and 4 for all micropillars are 2 0.197 t 0.017 vol%, 2 0.547 t 0.08 #/um3, and 2 175.3 t 4.6 nm, respectively. Furthermore, the initial f, P, and 6 increase from pP1 to pP3. These differences should be a consequence of the fact that these micropillars have been extracted from different","Chunk 85: In this study, the initial f, P, and 4 for the precipitates in pP1, pP2, and pP3 are compared with the initial f, P, and 6"
