Chunk Number,Original Text Chunk,Summary,Source File
11,"3D tissue/organ models for drug screening, organ development, toxicological, cosmetic research, etc., and tailoring of living structures for clinical transplantation or tissue repair. 1 Nantes Université, Ecole Centrale Nantes, CNRS, GeM, UMR 6183, F-44000, Nantes, France 2] PIMM, Arts et Métiers Institute of Technology, CNRS UMR 8006, F-75013, Paris, France E-mail: javier.arduengo-garcia@ec-mantes.r, icolashasoet@emame,",The aim of this project is to develop a new generation of 3D tissue andorgan models.,summarized_PIMM_JME_2024_HASCOET.csv
12,"franciso.chinesta @ensam.eu, smye-hasotecmmsr htps/doiorg/10.36897jme186044 104 J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 Bioprinting technologies are categorized into three main types based on their physical",Bioprinting technologies are classified into three main types based on their physical,summarized_PIMM_JME_2024_HASCOET.csv
13,"principles: extrusion-based bioprinting (EBB), droplet-based bioprinting (DBB), and light- based bioprinting (LBB) [3]: EBB employs a syringe-like extruder to deposit bioink as continuous filaments through a needle, accommodating a wide range of bioinks with high cell densities, suitable",Researchers at the Massachusetts Institute of Technology (MIT) have developed a new method for printing,summarized_PIMM_JME_2024_HASCOET.csv
14,"for complex tissues. DBB operates like inkjet printers, using bioink composed of living cells in a hydro- gel. It deposits tiny droplets using electrical, thermal, or acoustic energy, ideal for high-resolution printing and creating thin tissue layers and vascular networks. LBB uses laser power for precision through photopolymerization or bioink transfer,","Researchers at the Massachusetts Institute of Technology (MIT) have developed a new type of 3D printer, the droplet-",summarized_PIMM_JME_2024_HASCOET.csv
15,"offering high cell viability and suitability for delicate structures. EBB is the most extended family of technologies [4] because of its simpler implementation and flexibility to work with various materials. Three main actuation systems are used: pneumatic, mechanical (screw-or plunge-driven), and solenoid-based systems. Among these, pneumatic actuation systems are the most widely spread, because of their","EBB technologies are used in the manufacture of a wide range of MEMS devices, such as contact lenses, couplers, and actuators",summarized_PIMM_JME_2024_HASCOET.csv
16,"simplicity and suitability for working in sterile conditions. Most commercial solutions for bioprinting use this technology. However, this approach poses a challenge to obtain geometrically accurate constructs: the complex relation between the input pressure and the output flow of material through the needle, which is dependent of the rheological properties of the material. On top of the material flowrate in the needle, the size and shape of the filament",The aim of this study is to develop a new method for the 3D printing of medical implants.,summarized_PIMM_JME_2024_HASCOET.csv
17,"is also dependent on printing parameters as layer height, SO this relation is key to plan correctly the trajectories to bioprint a given construct. An imbalance between the expected size of the filament and the real one can lead to over-extrusion or under-extrusion. The error successively accumulates layer by layer, which leads to relatively important error in the final geometry.",The geometry of a 3D printed object is dependent on the size of the filament it is made of.,summarized_PIMM_JME_2024_HASCOET.csv
18,"Usually, the method to attain a given filament size is through trial and error. All of the printing parameters fixed except for pressure, the latter is adjusted iteratively [5]. This leads to waste of bioink, very costly per unit volume. Imprecise measuring during the initial layer might lead to unsatisfactory results with an increasing number of layers, as the error is cumulative. This phenomenon is enhanced with increasing printing precision, i.e. with smaller",A new method for achieving a given filament size in a 3D printer has been proposed.,summarized_PIMM_JME_2024_HASCOET.csv
19,"layer height and needle diameter. On top of issues with the control of the geometry of the filament during the extrusion, the choice of materials and printing parameters is non-trivial, as optimizing final shape fidelity as well as cell survivability often leads to opposite requirements. Two of these dualities can be identified: (i) stiff hydrogels lead to more structural integrity VS. soft hydrogels lead to higher cell viability during the extrusion as well","In the field of 3D printing, there are a number of challenges that need to be addressed.",summarized_PIMM_JME_2024_HASCOET.csv
20,"as more cell interaction after extrusion [6], (ii) smaller extrusion needle diameter leads to higher printing precision, but this also decreases cell viability as they suffer from more shear stress during printing. Rheological models have been tested to establish a relation between input pneumatic pressure and output material flowrate [7]. A rheological test is performed to characterize the bioink, using Dynamic Mechanical Analysis (DMA). Results are then applied",This study aims to investigate the influence of pneumatic pressure on the morphology of bioinks.,summarized_PIMM_JME_2024_HASCOET.csv
21,"to a model, which predicts flowrate in function of input pressure. This method is incomplete as the relation between flowrate and filament size and shape is not straightforward given the layer height and printing speed. Furthermore, the manipulation of bioinks to perform J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 105",A new method for predicting the flow rate of a 3D printer filament has been proposed.,summarized_PIMM_JME_2024_HASCOET.csv
22,"the DMA test can be difficult and material consuming. This is depending on the equipment used, and the cost of the equipment can be very high. In recent years, machine learning (ML) models have gained the remarkable ability to discern intricate data interactions from experimental data, enabling them to extrapolate their findings to more complex scenarios and objects where traditional handcrafted rules may not apply (long). This transformation has","In the 1970s and 1980s, the DMA test was used to measure the performance of new drugs.",summarized_PIMM_JME_2024_HASCOET.csv
23,"triggered a change in thinking towards data-driven approaches in various engineering disciplines [8]. Establishing a correlation between process parameters and quality outcomes often necessitates the derivation of empirical models, which can be accomplished using conventional statistical tools or by embracing ML techniques [9]. Consequently, data-driven machine learning algorithms, equipped with robust predictive capabilities, offer distinct",Machine learning (ML) and artificial intelligence (AI) have revolutionised our understanding of the world around us.,summarized_PIMM_JME_2024_HASCOET.csv
24,"advantages when it comes to predicting behaviours and exploring novel models [10]. Recent studies have shown successful applications of machine learning techniques to enhance the 3D printing of biomaterials [11-15]. In these studies, ML has been employed for three main purposes: 1. Predicting and optimizing printing parameters [16], aiming to maximize the structural",Machine learning (ML) is a branch of computer science that uses computers to learn from large amounts of data.,summarized_PIMM_JME_2024_HASCOET.csv
25,"properties of the printed biomaterials, 2. Material printability optimization, i.e. studying suitable rheological properties which result in better printability [17] and 3. Quality assessment of prints, to identify defects or imperfections in the printed construct [18].",The aim of this work is to: 1.,summarized_PIMM_JME_2024_HASCOET.csv
26,"In this paper, an open-loop control system using a ML model is proposed, consisting of an initial training phase, which uses a relatively low quantity of material (1 mL per 100 filaments approximately) and generates a precise model capable of predicting the output size and shape of the filament for a given material. It uses little supplementary material (two cameras) and can be applied to a large set of EBB techniques, including Micro-extrusion",The control of Electron Beam Melting (EBB) processes can be improved by the use of machine learning (ML).,summarized_PIMM_JME_2024_HASCOET.csv
27,"Bioprinting and FRESH [19]. A highly automatized protocol has been accomplished through the development of software communicating with all the instruments involved, which makes possible to attain a high cadence of data production (140 filaments created and analysed per hour). This allows the system to remain profitable in producing a high-quality ML model with little time investment. The model and is directly applicable after computing and can be",A machine learning (ML) system for 3D printing has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
28,"extended afterwards to a wider range of printing parameters. Section 2 of this paper presents the state of the art in two fields: measuring techniques in the scope of bioprinting and Machine Learning models. Section 3 presents materials, methods, and approaches that the authors used to collect data and train the model, showing an implementation of this open-loop control system, as well as results following the application of each method. Finally, Section 4",Section 1 of this paper presents an open-loop control system that can be used to control a bioprinting machine.,summarized_PIMM_JME_2024_HASCOET.csv
29,discusses conclusions and perspectives. 2. STATE OF THE ART 2.1. GEOMETRY MEASUREMENT Geometry measurement in bioprinting has its own challenges given the specific constraints of the domain: (i) soft and thermally sensitive materials and (ii) sterility needs to,The aim of this paper is to provide an overview of the current state of the art,summarized_PIMM_JME_2024_HASCOET.csv
30,"106 J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 be preserved to ensure the correct development of living cells. Thus, non-invasive measuring methods need to be implemented. Many techniques have been used to achieve this, which go from 2D imagery, which allows to measure geometry from a 2D perspective, to scanning,",The development of living cells is a complex process that requires a high degree of precision.,summarized_PIMM_JME_2024_HASCOET.csv
31,"which allows the direct reconstruction of 3D shapes. Some of these techniques are listed below: Common optical sensors include high-speed cameras, pyrometers, in-line cameras, and in-line photodetectors [20]. These optical sensors can provide great insight into each layer, but are limited to observing only the surfaces.",The use of optical sensors in 3D printing has increased dramatically in recent years.,summarized_PIMM_JME_2024_HASCOET.csv
32,"Optical coherence tomography (OCT) is an imaging technique that uses low- coherence light to capture micrometer-resolution, 2D- and 3D-dimensional images from within optical scattering media (e.g., biological tissue). OCThas recently been proposed to provide sub-surface information regarding the printed part [21, 22]. Magnetic resonance imaging (MRI) is a 3D imaging technique that offer a high",The use of optical coherence tomography (OCT) and magnetic resonance imaging (MRI) in 3D printing has been discussed in this,summarized_PIMM_JME_2024_HASCOET.csv
33,"measurement depth for monitoring and characterizing heterogeneous soft (hydrated) materials at ambient conditions [23]. Ultrasonic sensors have been used to detect subsurface defects by sending ultrasonic waves [24, 25]. For the purpose of the system to be implemented in this paper, common optical sensors",The aim of this paper is to develop an optical sensor system that can detect subsurface defects in soft materials,summarized_PIMM_JME_2024_HASCOET.csv
34,"and more precisely cameras are an optimal choice, because of their ease of integration and capacity to detect edges on any kind of material (provided an adequate background). To overcome the limitation of recovering only 2D geometry, multiple views can be used to measure different dimensions, although full 3D surface reconstruction remains out of scope. 2.2. PHYSICAL MODELS",The aim of this paper is to demonstrate the use of two-dimensional (3D) cameras for surface reconstruction.,summarized_PIMM_JME_2024_HASCOET.csv
35,"Many physical models based on the rheology of the bioinks have been developed. Bioinks are usually modelled as shear-thinning fluids, which enables to deduce the equation of the flow through the extrusion needle and thus estimate the size of the printed filament, as for example, in the Ostwald-de Waele model [7]. These models have been proven precise within bounded operating limits but may struggle to properly predict results in atypical","The use of bioinks in 3D printing has led to a wide range of applications, from medical implants to textiles to cosmetics.",summarized_PIMM_JME_2024_HASCOET.csv
36,"operating conditions (for instance, with high pressures) [26]. In addition, as these models only predict flow through the extrusion needle, they do not provide information about the shape of the filament once extruded as it is affected by gravity. This information is key as EBB techniques build layer by layer, SO it is the precise knowledge of final filament shape that allows for overall high printing precision.","In this paper, we present a new method for predicting the shape of the filament after it has been extruded.",summarized_PIMM_JME_2024_HASCOET.csv
37,"2.3. MACHINE LEARNING METHODS Numerical models can be an alternative to guide the experimentations and drastically reduce the numbers of trials for optimizing the parameters. Yet, such numerical models do not exist. Hence, a methodology is proposed to build a numerical direct model predicting the shape and size of a filament for a given set of parameters. This model is data-driven, based",This paper presents a methodology for predicting the shape and size of a filament for a given set of parameters.,summarized_PIMM_JME_2024_HASCOET.csv
38,"J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 107 on a set of experiments and can predict any new combination of parameters. This way, once calibrated, no more experiments would be required to investigate the best sets of parameters for a desired filament result. For data-driven modelling, Artificial Intelligence, and especially",A calibrated model of a 3D printer filament has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
39,"Machine Learning in this context, is the numerical tool to be used. Indeed, a non-linear multi- parametric model can be performed, relating inputs and outputs. Once the relations found based on data points, the model can be queried for a new set of parameters to be tested and answers in real-time. The studied data points used for training the model are in this case the experiments parameters and a photo of the result filament.","The aim of this paper is to train a model of a 3D printer filament, which can be queried in real-time.",summarized_PIMM_JME_2024_HASCOET.csv
40,"Once this direct model validated, an inverse model can be built for the final objective. Indeed, in use the numerical model must advise the experiment with optimal process parame- ters based on a target geometry. 3. MATERIALS, METHODS, AND RESULTS 3.1.1 EXPERIMENTAL SETUP AND MATERIALS",In this paper we show how to build a direct numerical model of a Petri dish experiment.,summarized_PIMM_JME_2024_HASCOET.csv
41,"The experimental setup consists of the following elements (cf. Fig. 1): Bioprinter: This is a self-developed prototype in the lab. It is a Cartesian machine with three axes. A linear motor (Parker, MX80LS) drives each axis (with approximately a 140 mm travel and a precision of 0.1 um). The Z-axis moves the syringe holder vertically, while the X and y-axes move the platform. An MC405",The aim of this project is to develop a 3D printer that can print biological samples.,summarized_PIMM_JME_2024_HASCOET.csv
42,"motion controller (Trio Motion Technology) controls the axes. It uses an ARM11 processor. Both the platform and the syringe holder are thermo-regulated with two independent water circuit run by mini-chillers (0 to 100°C) (Huber, Minichiller 300 OLE). Pressure controller: an Ultimus V (Nordson) controller controls pneumatic pressure",The Trio platform is a manipulator with two axes and a syringe holder.,summarized_PIMM_JME_2024_HASCOET.csv
43,"in the syringe. It provides high-precision benchtop fluid dispensing control (1 mbar precision, up to 5 bar of pressure). With a serial interface, the Ultimus V provides full electronic control of dispense time and pressure settings. Printing area: The bioprinter is assembled inside a microbiological safety hood that provides a vertical laminar flow, limiting sample contamination when working with",The Ultimus V is a syringe-based bioprinter that can be used in a variety of Petri dishes.,summarized_PIMM_JME_2024_HASCOET.csv
44,"cells and living material. A support structure has been designed for easy placement of glass slides on which lines are printed. It also provides suitable lighting conditions for capturing the filament's contour from horizontal and vertical perspectives. Printing support: filaments are printed on top of glass slides, which are single-used. A piece of paper is glued on the printing surface to provide a homogeneous","A 3D printer has been developed at the University of California, Los Angeles (UCLA) to produce high-quality 3D printed objects.",summarized_PIMM_JME_2024_HASCOET.csv
45,"background in the photos from which the geometry will be retrieved. Bioink: Pluronice F-127 (Merck, P2443-250G) is used at a 25% w/v concentration as testing hydrogel. It is an artificial polymer, usually used as scaffolding material in bioprinting, which is stiffer at higher temperatures. The hydrogel is prepared diluting the proper amount of Pluronic powder within de-ionized water at low temperatures","A 3D printer is being used at the University of California, Los Angeles (UCLA) to create a 3D model of a human heart",summarized_PIMM_JME_2024_HASCOET.csv
46,"(4°C). Blue food coloring is added in the end to better visualize the filament in images (1 droplet/ 5 ml). The hydrogel is centrifuged at low temperatures to extract air 108 J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 bubbles generated during mixing. A non-cell-laden bioink has been used for","Images courtesy of the University of California, Los Angeles.",summarized_PIMM_JME_2024_HASCOET.csv
47,"simplicity, but the same method is applicable for living cell-laden bioinks. Syringe and needle: the hydrogel was placed inside a 10cc syringe (Nordson, P/N: 7012114) connected to the pressure controller through an adapter assembly (Nordson, P/N: 7012239). Straight stainless steel needle of 0.2 mm ID, 0.42 mm OD and 12.7 mm length (Nordson, P/N: 7005008) were used during the experiments showed in","Syringe and needle: the hydrogel was placed inside a 10cc syringe connected to a pressure controller through an adapter assembly (Nordson, P",summarized_PIMM_JME_2024_HASCOET.csv
48,"this paper. Cameras: two different microscopic cameras (Dino-Lite, AM7915MZTL and AM7115MZTW) are mounted horizontally and vertically with respect to the printing plane on the bioprinter chassis. They offer high-resolution as well as a high focal length, which allows getting high-detail images at a distance.",Microscopic cameras are used to take high-resolution images of the printing plane on the bioprinter chassis,summarized_PIMM_JME_2024_HASCOET.csv
49,"Software: A PC hosts a C++ console program offering control over both cameras, the motion controller, and the pressure controller. It takes as input a .CSV file with parameters assigned to each filament and guides the operator through experiment initial preparations (camera and extrusion needle calibration, material purge) and verification. It sequentially performs each experiment, requiring the operator to","A 3D printer is fitted with two cameras, a motion controller, and a pressure controller.",summarized_PIMM_JME_2024_HASCOET.csv
50,"replace the glass slide in each iteration and to verify the extruded line. A Fig. 1. A - Experimental setup within the bioprinter hood. The bioprinter Z-axis, (center) is mounted on the chassis (center). The X- and Y-axis are mounted under the buildplate (bottom). The vertical (left, yellow) and horizontal (center, yellow) camera supports fixed on the chassis. The printhead (center) with a syringe of bioink is fixed to the",The bioprinter hood is designed to accommodate the following:,summarized_PIMM_JME_2024_HASCOET.csv
51,"Z-axis. The glass slide support (bottom front, yellow) is mounted onto the buildplate. The pressure controller (left back, blue and white) is connected to the syringe through a pressure pipe. B - Detail of the bioprinter while extruding ai filament 3.2. EXPERIMENTAL PROTOCOL The successful implementation of extrusion-based bioprinting (EBB) relies on precise control of several operational parameters. These parameters include extrusion pressure or",A - Detail of the bioprinter while extruding ai filament 3.2.,summarized_PIMM_JME_2024_HASCOET.csv
52,"velocity, nozzle geometry (which can be either cylindrical or conical with a specified convergence angle), nozzle diameter, cartridge temperature, platform temperature, advance speed of the printhead in both the X and y-directions, and path-height and path-space. Each of these parameters plays a crucial role in determining the bioprinting process's outcome [20-22]. During the preparation of each experiment, the parameters to be set for each line to","In this paper, we set out the parameters that should be considered in the preparation of each experiment in the bioprinting process.",summarized_PIMM_JME_2024_HASCOET.csv
53,"be printed in the essay are recorded in a table. The adjustable parameters are three: (i) needle height relative to the printing surface, (ii) advance speed and (iii) applied pneumatic pressure. J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 109 Other parameters that are not variable but are measured or controlled include the head of the",The parameters of a variable-speed inkjet printer are measured and controlled.,summarized_PIMM_JME_2024_HASCOET.csv
54,"printer's temperature, ambient temperature, bioprinter acceleration, needle diameter, needle length, and bioink type. The selected bioink temperature for this set of experiments is 30°C. The protocol runs as follows (cf. Fig. 2): Begin Camera and needle",The protocols for this set of experiments are as follows:,summarized_PIMM_JME_2024_HASCOET.csv
55,"calibration Automatic Mixed Material purge, initial test Manual",The following is a guide to the calibration of the,summarized_PIMM_JME_2024_HASCOET.csv
56,Parameter setting Filamente extrusion Capture photographs Glass slide change No,"Images courtesy of AFP, EPA, Getty Images and",summarized_PIMM_JME_2024_HASCOET.csv
57,Proper filament ? Yes Photographs saving No,Do you think filament should be used in photography?,summarized_PIMM_JME_2024_HASCOET.csv
58,End of experiment ? Yes Finish,BBC Sport takes a look back at some of the,summarized_PIMM_JME_2024_HASCOET.csv
59,"Fig. 2. Experimental protocol Preparation: A syringe full of material, and the desired needle mounted is attached to the bioprinter. The head of the printer's temperature is manually adjusted and left during 20 min to achieve thermal equilibrium inside the hydrogel. A glass slide is placed on the printing area, and the program is launched. An absolute reference inside",A 3D printer is used to print human skin using hydrogel.,summarized_PIMM_JME_2024_HASCOET.csv
60,"the printing area allows camera calibration before the start of the experiment. Additionally, a second reference is placed next to the extruded line to serve as a refe- rence in each photo. A material purge is performed to remove any air bubbles trapped in the needle. Finally, a test line is printed to verify that the preparation has been carried out correctly.",A 3D printer is used to produce test lines for a Petri dish.,summarized_PIMM_JME_2024_HASCOET.csv
61,"Sequential filament printing: For each line, the machine approaches the starting position. Horizontal displacement begins simultaneously with the activation of pressure, which is deactivated upon reaching the end of the trajectory of a total length of 20 mm. The velocity profile is trapezoidal, meaning there is constant acceleration and deceleration until the desired velocity is achieved. Subsequently, the needle is",A new type of Sequential Filament Printing (SFP) has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
62,"vertically retracted, and the plate is moved to the position where horizontal and vertical photographs are taken simultaneously. Finally, the plate is moved to a position where the current glass slide can be easily removed. The operator can then 110 J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117",A method for moving a glass slide on a photographic plate has been described.,summarized_PIMM_JME_2024_HASCOET.csv
63,"request the repetition of the printing if anomalies (such as air bubbles) are detected or proceed with the next experiment once the plate has been changed. The horizontal and vertical images are then automatically saved. Ending: once all the filaments have been printed, the program stops and automatically outputs a data file relating each photograph with its corresponding set",This program can be used to control the printing of images on a Petri dish.,summarized_PIMM_JME_2024_HASCOET.csv
64,"of parameters. 3.3. TEST SELECTION It is possible that for a given set of printing parameters, the flowrate is not sufficient (known as under-extrusion) and thus a non-continuous filament is obtained. This situation is to be avoided as the model is intended to predict the width and height of a continuous filament.",This paper presents a model of a continuous filament printing process.,summarized_PIMM_JME_2024_HASCOET.csv
65,"In order to optimize the number of tests that are useful as input data, a prior test selection with a high probability of being continuous is carried out. For this purpose, an initial set of tests has been run in a very wide range of parameters, which will surely have a considerable number of non-continuous filaments. The classification of each filament as continuous or disconti- nuous is associated with the values of the process parameters, which allows the construction",A new method for the construction of continuous filaments has been proposed.,summarized_PIMM_JME_2024_HASCOET.csv
66,"of a Logistic Regression Model (LRM): f(z) = 1 with Z = A + Bp + Cu + Dh, p 1+e being the pressure expressed in bars, 1 the speed expressed in mm/s and h the needle height with respect to the printing surface expressed in mm, and A, B,C and D the parameters of the model. The resulting LMR predicts the probability (from 0 to 1) of a filament being",This paper presents the results of a Logistic Regression Model (LRM) which predicts the probability (from 0 to 1 of a filament being a filament) of a filament,summarized_PIMM_JME_2024_HASCOET.csv
67,"continuous given a set of input parameters. This model is applicable, therefore, for making informed decisions about configuring parameters in filament printing experiments. A series of prior longitudinal filament printing tests (154 in total) have been conducted, involving the wide-ranging variation of different process parameters and variables, and observing the production of continuous or discontinuous filaments. The resulting LRM is the",A Longitudinal Reference Model (LRM) for filament printing experiments has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
68,"following: f(z) 1 with Z = 4.3 + 2p = 0.1v = 0.3h. The confusion matrix for the set 1+e of tests carried out with a probability threshold of 0.8, which reasonably ensures that the specific combination of parameters allows for the printing of continuous filaments, is the",The results of a series of tests on the printing of continuous filaments have been published in the journal Science.,summarized_PIMM_JME_2024_HASCOET.csv
69,following (Table 1). The graphic on the right (cf. Fig. 3) shows the line which represents the LRM model isoquant at the chosen threshold (f(z) = 0.8) VS the data points used to compute the model. Any filament whose parameters fall under the line is given a probability higher than 0.8 to be continuous. It is possible to conclude that the layer height has a low effect on continuity and,In this paper I present a new approach to the problem of continuity in 3D printing.,summarized_PIMM_JME_2024_HASCOET.csv
70,"that probability of continuity increases with pressure and decreases with velocity. To produce a working model for the open-loop system exposed in this article, the geometry of each filament needs to be retrieved. This quantity of interest is usually measured manually (approximative width and height) or subjectively (good and bad shape). The auto- matization of the geometry measurement for each filament through image analysis is",The geometry of a 3D printer filament is an important parameter in the design of an open-loop system.,summarized_PIMM_JME_2024_HASCOET.csv
71,"proposed. Indeed, the Artificial Intelligence field also includes Image Processing and Computer Vision techniques. Those methods can be applied on an image to detect an object (the deposited filament) and measure the widths and heights all along the shape. J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 111",Artificial intelligence (AI) is a branch of science and technology that aims to improve the quality and performance of human beings,summarized_PIMM_JME_2024_HASCOET.csv
72,Table 1. Confusion matrix of the test dataset applying the threshold f(z) = 0.8 Negative Positive False 25 5,The results of a study published in Plos One,summarized_PIMM_JME_2024_HASCOET.csv
73,"True 31 93 Probability of continuous cord = 0.8 (heights = 0.2, 0.4 and 0.6 mm)",The longest continuous cord in the world has a diameter,summarized_PIMM_JME_2024_HASCOET.csv
74,40 Discont. cord Cont. cord 35 30,A selection of some of the best-known and,summarized_PIMM_JME_2024_HASCOET.csv
75,25 20 15 10 5,BBC Sport takes a look back at some of the,summarized_PIMM_JME_2024_HASCOET.csv
76,"2.25 2.50 2.75 3.00 3.25 3.50 3.75 4.00 4.25 4.50 Pressure (bar) Fig. 3. Threshold of the LRM modelf(z) = 0.8 VS data points used to compute the model 3.4. IMAGE PROCESSING This way, the average quantity of interest (width and height) is retrieved but also its","Images courtesy of AFP, EPA, Getty Images and Reuters",summarized_PIMM_JME_2024_HASCOET.csv
77,"variance along the filament. Hence, it can determine whether the filament edges are regular (c.f. Fig. 4). A filament with regular edges presents a very low variance width and height when irregular edges show a very high variance. A. B.",The height and width of a filament can be determined by dividing the height of the filament by,summarized_PIMM_JME_2024_HASCOET.csv
78,Fig. 4. A. Filament with regular edges; B. Filament with irregular edges Photographs of the result filaments are automatically taken during the experiment from the side and from above (c.f. Fig. 5) to compute respectively the height and the width. A. B.,Filaments with regular edges and irregular edges are produced in this experiment.,summarized_PIMM_JME_2024_HASCOET.csv
79,"Fig. 5. Photo of the filament automatically shot at the end of the process from the A. side and from B. above 112 J. Arduengo et al./Journal of Machine Engineering, 2024, Vol. 24, No. 1, 103-117 Based on the dye color, a HSV (Hue Saturation Value) conversion helps filtering the pixels in the image and approximatively detect the filament location (c.f. Fig. 6).",An image-recognition system for 3D printing has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
80,"A. B. Fig 6. HSV encoding of the photo from above the filament: A. = Binary image filtered, B. - Approximative location of the filament in the image Once the approximative location computed, only the filament remains on the cropped",The following is a selection of some of the best examples of the use of high-speed,summarized_PIMM_JME_2024_HASCOET.csv
81,"image. Therefore, the only remaining edges are those of the filament. Using the Canny edges detection with the scikit-image library in Python [27), all pixels around the filament can be retrieved (cf. Fig. 7). From those pixels' coordinates, the width and the height along the filament can be computed (c.f. Fig. 8). Horizontal and vertical images provide a resolution of 11 um and 15 um per pixel, respectively.","In this paper, we show how to detect the edges of a 3D printer filament using the Canny edges detection algorithm.",summarized_PIMM_JME_2024_HASCOET.csv
82,Fig. 7. Filament edges detected with Canny method [27] on the cropped image A. B. Fig. 8. A. Width and B. = Height automatically computed along the printed filament with image processing This approach automatizes the measure of the filament with more consistent and,A new method for detecting filament edges in 3D printing has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
